FeatureIndex Pos Neg
12672 889 2040
12676 886 2043
12716 881 2048
12720 879 2050
13068 900 2029
13072 897 2032
13112 892 2037
13116 890 2039
13464 901 2028
13468 898 2031
13508 893 2036
13512 891 2038
13860 901 2028
13864 898 2031
13904 893 2036
13908 891 2038
15444 1005 1924
15448 998 1931
15452 964 1965
15488 1001 1928
15492 995 1934
15496 962 1967
15532 957 1972
15536 951 1978
15540 924 2005
15840 1139 1790
15844 1132 1797
15848 1098 1831
15852 970 1959
15884 1131 1798
15888 1125 1804
15892 1092 1837
15896 965 1964
15928 1083 1846
15932 1077 1852
15936 1050 1879
15940 934 1995
15972 951 1978
15976 946 1983
15980 928 2001
16236 1194 1735
16240 1187 1742
16244 1153 1776
16248 1025 1904
16280 1186 1743
16284 1180 1749
16288 1147 1782
16292 1020 1909
16324 1133 1796
16328 1127 1802
16332 1100 1829
16336 984 1945
16368 994 1935
16372 989 1940
16376 971 1958
16380 879 2050
16632 1207 1722
16636 1200 1729
16640 1166 1763
16644 1038 1891
16676 1199 1730
16680 1193 1736
16684 1160 1769
16688 1033 1896
16720 1142 1787
16724 1136 1793
16728 1109 1820
16732 993 1936
16764 1001 1928
16768 996 1933
16772 978 1951
16776 886 2043
17028 1209 1720
17032 1202 1727
17036 1168 1761
17040 1040 1889
17072 1201 1728
17076 1195 1734
17080 1162 1767
17084 1035 1894
17116 1144 1785
17120 1138 1791
17124 1111 1818
17128 995 1934
17160 1003 1926
17164 998 1931
17168 980 1949
17172 888 2041
17424 1210 1719
17428 1203 1726
17432 1169 1760
17436 1041 1888
17468 1202 1727
17472 1196 1733
17476 1163 1766
17480 1036 1893
17512 1145 1784
17516 1139 1790
17520 1112 1817
17524 996 1933
17556 1004 1925
17560 999 1930
17564 981 1948
17568 889 2040
18612 921 2008
18616 911 2018
18656 918 2011
18660 909 2020
18700 885 2044
19008 1202 1727
19012 1192 1737
19016 1143 1786
19020 973 1956
19052 1198 1731
19056 1189 1740
19060 1141 1788
19064 972 1957
19096 1154 1775
19100 1145 1784
19104 1103 1826
19108 945 1984
19140 1036 1893
19144 1028 1901
19148 995 1934
19184 892 2037
19188 885 2044
19404 1370 1559
19408 1360 1569
19412 1311 1618
19416 1141 1788
19448 1362 1567
19452 1353 1576
19456 1305 1624
19460 1136 1793
19492 1314 1615
19496 1305 1624
19500 1263 1666
19504 1105 1824
19536 1182 1747
19540 1174 1755
19544 1141 1788
19548 1007 1922
19580 1019 1910
19584 1012 1917
19588 988 1941
19800 1441 1488
19804 1431 1498
19808 1382 1547
19812 1212 1717
19844 1433 1496
19848 1424 1505
19852 1376 1553
19856 1207 1722
19888 1380 1549
19892 1371 1558
19896 1329 1600
19900 1171 1758
19932 1241 1688
19936 1233 1696
19940 1200 1729
19944 1066 1863
19976 1066 1863
19980 1059 1870
19984 1035 1894
19988 921 2008
20196 1456 1473
20200 1446 1483
20204 1397 1532
20208 1227 1702
20212 887 2042
20240 1448 1481
20244 1439 1490
20248 1391 1538
20252 1222 1707
20256 882 2047
20284 1391 1538
20288 1382 1547
20292 1340 1589
20296 1182 1747
20328 1250 1679
20332 1242 1687
20336 1209 1720
20340 1075 1854
20372 1072 1857
20376 1065 1864
20380 1041 1888
20384 927 2002
20592 1459 1470
20596 1449 1480
20600 1400 1529
20604 1230 1699
20608 890 2039
20636 1451 1478
20640 1442 1487
20644 1394 1535
20648 1225 1704
20652 885 2044
20680 1394 1535
20684 1385 1544
20688 1343 1586
20692 1185 1744
20724 1253 1676
20728 1245 1684
20732 1212 1717
20736 1078 1851
20768 1074 1855
20772 1067 1862
20776 1043 1886
20780 929 2000
20988 1460 1469
20992 1450 1479
20996 1401 1528
21000 1231 1698
21004 891 2038
21032 1452 1477
21036 1443 1486
21040 1395 1534
21044 1226 1703
21048 886 2043
21076 1395 1534
21080 1386 1543
21084 1344 1585
21088 1186 1743
21120 1254 1675
21124 1246 1683
21128 1213 1716
21132 1079 1850
21164 1075 1854
21168 1068 1861
21172 1044 1885
21176 930 1999
22176 1008 1921
22180 994 1935
22184 922 2007
22220 1005 1924
22224 992 1937
22228 921 2008
22264 972 1957
22268 959 1970
22272 894 2035
22572 1326 1603
22576 1312 1617
22580 1240 1689
22584 1040 1889
22616 1322 1607
22620 1309 1620
22624 1238 1691
22628 1039 1890
22660 1278 1651
22664 1265 1664
22668 1200 1729
22672 1012 1917
22704 1160 1769
22708 1148 1781
22712 1092 1837
22716 928 2001
22748 1016 1913
22752 1005 1924
22756 958 1971
22968 1510 1419
22972 1496 1433
22976 1424 1505
22980 1224 1705
23012 1502 1427
23016 1489 1440
23020 1418 1511
23024 1219 1710
23056 1454 1475
23060 1441 1488
23064 1376 1553
23068 1188 1741
23100 1322 1607
23104 1310 1619
23108 1254 1675
23112 1090 1839
23144 1159 1770
23148 1148 1781
23152 1101 1828
23156 957 1972
23188 924 2005
23192 914 2015
23364 1597 1332
23368 1583 1346
23372 1511 1418
23376 1311 1618
23380 942 1987
23408 1589 1340
23412 1576 1353
23416 1505 1424
23420 1306 1623
23424 937 1992
23452 1536 1393
23456 1523 1406
23460 1458 1471
23464 1270 1659
23468 916 2013
23496 1397 1532
23500 1385 1544
23504 1329 1600
23508 1165 1764
23540 1222 1707
23544 1211 1718
23548 1164 1765
23552 1020 1909
23584 979 1950
23588 969 1960
23592 926 2003
23760 1616 1313
23764 1602 1327
23768 1530 1399
23772 1330 1599
23776 961 1968
23804 1608 1321
23808 1595 1334
23812 1524 1405
23816 1325 1604
23820 956 1973
23848 1551 1378
23852 1538 1391
23856 1473 1456
23860 1285 1644
23864 931 1998
23892 1410 1519
23896 1398 1531
23900 1342 1587
23904 1178 1751
23936 1232 1697
23940 1221 1708
23944 1174 1755
23948 1030 1899
23980 987 1942
23984 977 1952
23988 934 1995
24156 1620 1309
24160 1606 1323
24164 1534 1395
24168 1334 1595
24172 965 1964
24200 1612 1317
24204 1599 1330
24208 1528 1401
24212 1329 1600
24216 960 1969
24244 1555 1374
24248 1542 1387
24252 1477 1452
24256 1289 1640
24260 935 1994
24288 1414 1515
24292 1402 1527
24296 1346 1583
24300 1182 1747
24332 1235 1694
24336 1224 1705
24340 1177 1752
24344 1033 1896
24376 990 1939
24380 980 1949
24384 937 1992
24552 1621 1308
24556 1607 1322
24560 1535 1394
24564 1335 1594
24568 966 1963
24596 1613 1316
24600 1600 1329
24604 1529 1400
24608 1330 1599
24612 961 1968
24640 1556 1373
24644 1543 1386
24648 1478 1451
24652 1290 1639
24656 936 1993
24684 1415 1514
24688 1403 1526
24692 1347 1582
24696 1183 1746
24728 1236 1693
24732 1225 1704
24736 1178 1751
24740 1034 1895
24772 991 1938
24776 981 1948
24780 938 1991
25740 1038 1891
25744 1022 1907
25748 940 1989
25784 1035 1894
25788 1020 1909
25792 939 1990
25828 1002 1927
25832 987 1942
25836 912 2017
25872 907 2022
25876 893 2036
26136 1367 1562
26140 1351 1578
26144 1269 1660
26148 1059 1870
26180 1363 1566
26184 1348 1581
26188 1267 1662
26192 1058 1871
26224 1319 1610
26228 1304 1625
26232 1229 1700
26236 1031 1898
26268 1201 1728
26272 1187 1742
26276 1121 1808
26280 947 1982
26312 1057 1872
26316 1044 1885
26320 987 1942
26532 1555 1374
26536 1539 1390
26540 1457 1472
26544 1247 1682
26576 1547 1382
26580 1532 1397
26584 1451 1478
26588 1242 1687
26620 1499 1430
26624 1484 1445
26628 1409 1520
26632 1211 1718
26664 1367 1562
26668 1353 1576
26672 1287 1642
26676 1113 1816
26708 1204 1725
26712 1191 1738
26716 1134 1795
26720 980 1949
26752 969 1960
26756 957 1972
26760 904 2025
26928 1643 1286
26932 1627 1302
26936 1545 1384
26940 1335 1594
26944 952 1977
26972 1635 1294
26976 1620 1309
26980 1539 1390
26984 1330 1599
26988 947 1982
27016 1582 1347
27020 1567 1362
27024 1492 1437
27028 1294 1635
27032 926 2003
27060 1443 1486
27064 1429 1500
27068 1363 1566
27072 1189 1740
27104 1268 1661
27108 1255 1674
27112 1198 1731
27116 1044 1885
27148 1025 1904
27152 1013 1916
27156 960 1969
27324 1664 1265
27328 1648 1281
27332 1566 1363
27336 1356 1573
27340 973 1956
27368 1656 1273
27372 1641 1288
27376 1560 1369
27380 1351 1578
27384 968 1961
27412 1599 1330
27416 1584 1345
27420 1509 1420
27424 1311 1618
27428 943 1986
27456 1458 1471
27460 1444 1485
27464 1378 1551
27468 1204 1725
27500 1280 1649
27504 1267 1662
27508 1210 1719
27512 1056 1873
27544 1035 1894
27548 1023 1906
27552 970 1959
27720 1668 1261
27724 1652 1277
27728 1570 1359
27732 1360 1569
27736 977 1952
27764 1660 1269
27768 1645 1284
27772 1564 1365
27776 1355 1574
27780 972 1957
27808 1603 1326
27812 1588 1341
27816 1513 1416
27820 1315 1614
27824 947 1982
27852 1462 1467
27856 1448 1481
27860 1382 1547
27864 1208 1721
27868 879 2050
27896 1283 1646
27900 1270 1659
27904 1213 1716
27908 1059 1870
27940 1038 1891
27944 1026 1903
27948 973 1956
28116 1670 1259
28120 1654 1275
28124 1572 1357
28128 1362 1567
28132 979 1950
28160 1662 1267
28164 1647 1282
28168 1566 1363
28172 1357 1572
28176 974 1955
28204 1605 1324
28208 1590 1339
28212 1515 1414
28216 1317 1612
28220 949 1980
28248 1464 1465
28252 1450 1479
28256 1384 1545
28260 1210 1719
28264 881 2048
28292 1285 1644
28296 1272 1657
28300 1215 1714
28304 1061 1868
28336 1040 1889
28340 1028 1901
28344 975 1954
29304 1042 1887
29308 1024 1905
29312 940 1989
29348 1039 1890
29352 1022 1907
29356 939 1990
29392 1006 1923
29396 989 1940
29400 912 2017
29436 911 2018
29440 895 2034
29700 1372 1557
29704 1354 1575
29708 1270 1659
29712 1060 1869
29744 1368 1561
29748 1351 1578
29752 1268 1661
29756 1059 1870
29788 1324 1605
29792 1307 1622
29796 1230 1699
29800 1032 1897
29832 1206 1723
29836 1190 1739
29840 1122 1807
29844 948 1981
29876 1062 1867
29880 1047 1882
29884 988 1941
30096 1560 1369
30100 1542 1387
30104 1458 1471
30108 1248 1681
30140 1552 1377
30144 1535 1394
30148 1452 1477
30152 1243 1686
30184 1504 1425
30188 1487 1442
30192 1410 1519
30196 1212 1717
30228 1372 1557
30232 1356 1573
30236 1288 1641
30240 1114 1815
30272 1209 1720
30276 1194 1735
30280 1135 1794
30284 981 1948
30316 974 1955
30320 960 1969
30324 905 2024
30492 1648 1281
30496 1630 1299
30500 1546 1383
30504 1336 1593
30508 952 1977
30536 1640 1289
30540 1623 1306
30544 1540 1389
30548 1331 1598
30552 947 1982
30580 1587 1342
30584 1570 1359
30588 1493 1436
30592 1295 1634
30596 926 2003
30624 1448 1481
30628 1432 1497
30632 1364 1565
30636 1190 1739
30668 1273 1656
30672 1258 1671
30676 1199 1730
30680 1045 1884
30712 1030 1899
30716 1016 1913
30720 961 1968
30888 1669 1260
30892 1651 1278
30896 1567 1362
30900 1357 1572
30904 973 1956
30932 1661 1268
30936 1644 1285
30940 1561 1368
30944 1352 1577
30948 968 1961
30976 1604 1325
30980 1587 1342
30984 1510 1419
30988 1312 1617
30992 943 1986
31020 1463 1466
31024 1447 1482
31028 1379 1550
31032 1205 1724
31064 1285 1644
31068 1270 1659
31072 1211 1718
31076 1057 1872
31108 1040 1889
31112 1026 1903
31116 971 1958
31284 1673 1256
31288 1655 1274
31292 1571 1358
31296 1361 1568
31300 977 1952
31328 1665 1264
31332 1648 1281
31336 1565 1364
31340 1356 1573
31344 972 1957
31372 1608 1321
31376 1591 1338
31380 1514 1415
31384 1316 1613
31388 947 1982
31416 1467 1462
31420 1451 1478
31424 1383 1546
31428 1209 1720
31432 879 2050
31460 1288 1641
31464 1273 1656
31468 1214 1715
31472 1060 1869
31504 1043 1886
31508 1029 1900
31512 974 1955
31680 1675 1254
31684 1657 1272
31688 1573 1356
31692 1363 1566
31696 979 1950
31724 1667 1262
31728 1650 1279
31732 1567 1362
31736 1358 1571
31740 974 1955
31768 1610 1319
31772 1593 1336
31776 1516 1413
31780 1318 1611
31784 949 1980
31812 1469 1460
31816 1453 1476
31820 1385 1544
31824 1211 1718
31828 881 2048
31856 1290 1639
31860 1275 1654
31864 1216 1713
31868 1062 1867
31900 1045 1884
31904 1031 1898
31908 976 1953
45684 931 1998
45688 931 1998
45692 931 1998
45696 916 2013
45700 889 2040
45720 921 2008
45724 921 2008
45728 921 2008
45732 906 2023
45736 879 2050
46008 936 1993
46012 936 1993
46016 936 1993
46020 921 2008
46024 894 2035
46044 926 2003
46048 926 2003
46052 926 2003
46056 911 2018
46060 884 2045
48600 883 2046
48604 883 2046
48608 881 2048
48636 882 2047
48640 882 2047
48644 880 2049
48924 1190 1739
48928 1190 1739
48932 1188 1741
48936 1168 1761
48940 1130 1799
48944 1025 1904
48960 1185 1744
48964 1185 1744
48968 1183 1746
48972 1163 1766
48976 1125 1804
48980 1021 1908
48996 1136 1793
49000 1136 1793
49004 1134 1795
49008 1114 1815
49012 1079 1850
49016 980 1949
49032 1018 1911
49036 1018 1911
49040 1016 1913
49044 997 1932
49048 963 1966
49248 1311 1618
49252 1311 1618
49256 1309 1620
49260 1289 1640
49264 1251 1678
49268 1146 1783
49272 920 2009
49284 1301 1628
49288 1301 1628
49292 1299 1630
49296 1279 1650
49300 1241 1688
49304 1137 1792
49308 911 2018
49320 1235 1694
49324 1235 1694
49328 1233 1696
49332 1213 1716
49336 1178 1751
49340 1079 1850
49356 1095 1834
49360 1095 1834
49364 1093 1836
49368 1074 1855
49372 1040 1889
49376 951 1978
49572 1324 1605
49576 1324 1605
49580 1322 1607
49584 1302 1627
49588 1264 1665
49592 1159 1770
49596 933 1996
49608 1314 1615
49612 1314 1615
49616 1312 1617
49620 1292 1637
49624 1254 1675
49628 1150 1779
49632 924 2005
49644 1246 1683
49648 1246 1683
49652 1244 1685
49656 1224 1705
49660 1189 1740
49664 1090 1839
49680 1106 1823
49684 1106 1823
49688 1104 1825
49692 1085 1844
49696 1051 1878
49700 962 1967
52164 1067 1862
52168 1066 1863
52172 1064 1865
52176 1042 1887
52180 989 1940
52200 1066 1863
52204 1065 1864
52208 1063 1866
52212 1041 1888
52216 988 1941
52236 1033 1896
52240 1032 1897
52244 1030 1899
52248 1008 1921
52252 958 1971
52272 961 1968
52276 960 1969
52280 958 1971
52284 937 1992
52288 888 2041
52488 1443 1486
52492 1442 1487
52496 1440 1489
52500 1418 1511
52504 1365 1564
52508 1232 1697
52512 954 1975
52524 1438 1491
52528 1437 1492
52532 1435 1494
52536 1413 1516
52540 1360 1569
52544 1228 1701
52548 950 1979
52560 1389 1540
52564 1388 1541
52568 1386 1543
52572 1364 1565
52576 1314 1615
52580 1187 1742
52584 913 2016
52596 1271 1658
52600 1270 1659
52604 1268 1661
52608 1247 1682
52612 1198 1731
52616 1081 1848
52632 1034 1895
52636 1033 1896
52640 1031 1898
52644 1015 1914
52648 977 1952
52652 880 2049
52812 1594 1335
52816 1593 1336
52820 1591 1338
52824 1569 1360
52828 1516 1413
52832 1383 1546
52836 1105 1824
52848 1584 1345
52852 1583 1346
52856 1581 1348
52860 1559 1370
52864 1506 1423
52868 1374 1555
52872 1096 1833
52884 1518 1411
52888 1517 1412
52892 1515 1414
52896 1493 1436
52900 1443 1486
52904 1316 1613
52908 1042 1887
52920 1378 1551
52924 1377 1552
52928 1375 1554
52932 1354 1575
52936 1305 1624
52940 1188 1741
52944 942 1987
52956 1123 1806
52960 1122 1807
52964 1120 1809
52968 1104 1825
52972 1066 1863
52976 969 1960
53136 1615 1314
53140 1614 1315
53144 1612 1317
53148 1590 1339
53152 1537 1392
53156 1404 1525
53160 1126 1803
53172 1605 1324
53176 1604 1325
53180 1602 1327
53184 1580 1349
53188 1527 1402
53192 1395 1534
53196 1117 1812
53208 1537 1392
53212 1536 1393
53216 1534 1395
53220 1512 1417
53224 1462 1467
53228 1335 1594
53232 1061 1868
53244 1397 1532
53248 1396 1533
53252 1394 1535
53256 1373 1556
53260 1324 1605
53264 1207 1722
53268 961 1968
53280 1139 1790
53284 1138 1791
53288 1136 1793
53292 1120 1809
53296 1082 1847
53300 985 1944
55728 1166 1763
55732 1165 1764
55736 1162 1767
55740 1136 1793
55744 1076 1853
55748 931 1998
55764 1165 1764
55768 1164 1765
55772 1161 1768
55776 1135 1794
55780 1075 1854
55784 931 1998
55800 1132 1797
55804 1131 1798
55808 1128 1801
55812 1102 1827
55816 1045 1884
55820 906 2023
55836 1060 1869
55840 1059 1870
55844 1056 1873
55848 1031 1898
55852 975 1954
55872 890 2039
55876 889 2040
55880 886 2043
56052 1593 1336
56056 1592 1337
56060 1589 1340
56064 1563 1366
56068 1503 1426
56072 1358 1571
56076 1044 1885
56088 1588 1341
56092 1587 1342
56096 1584 1345
56100 1558 1371
56104 1498 1431
56108 1354 1575
56112 1040 1889
56124 1539 1390
56128 1538 1391
56132 1535 1394
56136 1509 1420
56140 1452 1477
56144 1313 1616
56148 1003 1926
56160 1421 1508
56164 1420 1509
56168 1417 1512
56172 1392 1537
56176 1336 1593
56180 1207 1722
56184 925 2004
56196 1184 1745
56200 1183 1746
56204 1180 1749
56208 1160 1769
56212 1115 1814
56216 1006 1923
56232 886 2043
56236 885 2044
56240 882 2047
56376 1763 1166
56380 1762 1167
56384 1759 1170
56388 1733 1196
56392 1673 1256
56396 1528 1401
56400 1214 1715
56412 1753 1176
56416 1752 1177
56420 1749 1180
56424 1723 1206
56428 1663 1266
56432 1519 1410
56436 1205 1724
56448 1687 1242
56452 1686 1243
56456 1683 1246
56460 1657 1272
56464 1600 1329
56468 1461 1468
56472 1151 1778
56484 1547 1382
56488 1546 1383
56492 1543 1386
56496 1518 1411
56500 1462 1467
56504 1333 1596
56508 1051 1878
56520 1292 1637
56524 1291 1638
56528 1288 1641
56532 1268 1661
56536 1223 1706
56540 1114 1815
56544 879 2050
56556 954 1975
56560 953 1976
56564 950 1979
56568 936 1993
56572 902 2027
56700 1787 1142
56704 1786 1143
56708 1783 1146
56712 1757 1172
56716 1697 1232
56720 1552 1377
56724 1238 1691
56736 1777 1152
56740 1776 1153
56744 1773 1156
56748 1747 1182
56752 1687 1242
56756 1543 1386
56760 1229 1700
56772 1709 1220
56776 1708 1221
56780 1705 1224
56784 1679 1250
56788 1622 1307
56792 1483 1446
56796 1173 1756
56808 1569 1360
56812 1568 1361
56816 1565 1364
56820 1540 1389
56824 1484 1445
56828 1355 1574
56832 1073 1856
56844 1311 1618
56848 1310 1619
56852 1307 1622
56856 1287 1642
56860 1242 1687
56864 1133 1796
56868 898 2031
56880 965 1964
56884 964 1965
56888 961 1968
56892 947 1982
56896 913 2016
59292 1186 1743
59296 1185 1744
59300 1178 1751
59304 1152 1777
59308 1089 1840
59312 938 1991
59328 1185 1744
59332 1184 1745
59336 1177 1752
59340 1151 1778
59344 1088 1841
59348 938 1991
59364 1152 1777
59368 1151 1778
59372 1144 1785
59376 1118 1811
59380 1058 1871
59384 913 2016
59400 1080 1849
59404 1079 1850
59408 1072 1857
59412 1047 1882
59416 988 1941
59436 910 2019
59440 909 2020
59444 902 2027
59448 882 2047
59616 1624 1305
59620 1623 1306
59624 1616 1313
59628 1590 1339
59632 1527 1402
59636 1376 1553
59640 1059 1870
59652 1619 1310
59656 1618 1311
59660 1611 1318
59664 1585 1344
59668 1522 1407
59672 1372 1557
59676 1055 1874
59688 1570 1359
59692 1569 1360
59696 1562 1367
59700 1536 1393
59704 1476 1453
59708 1331 1598
59712 1018 1911
59724 1452 1477
59728 1451 1478
59732 1444 1485
59736 1419 1510
59740 1360 1569
59744 1225 1704
59748 940 1989
59760 1215 1714
59764 1214 1715
59768 1207 1722
59772 1187 1742
59776 1139 1790
59780 1024 1905
59796 917 2012
59800 916 2013
59804 909 2020
59808 895 2034
59940 1799 1130
59944 1798 1131
59948 1791 1138
59952 1765 1164
59956 1702 1227
59960 1551 1378
59964 1234 1695
59976 1789 1140
59980 1788 1141
59984 1781 1148
59988 1755 1174
59992 1692 1237
59996 1542 1387
60000 1225 1704
60012 1723 1206
60016 1722 1207
60020 1715 1214
60024 1689 1240
60028 1629 1300
60032 1484 1445
60036 1171 1758
60048 1583 1346
60052 1582 1347
60056 1575 1354
60060 1550 1379
60064 1491 1438
60068 1356 1573
60072 1071 1858
60084 1328 1601
60088 1327 1602
60092 1320 1609
60096 1300 1629
60100 1252 1677
60104 1137 1792
60108 899 2030
60120 990 1939
60124 989 1940
60128 982 1947
60132 968 1961
60136 931 1998
60264 1825 1104
60268 1824 1105
60272 1817 1112
60276 1791 1138
60280 1728 1201
60284 1577 1352
60288 1260 1669
60300 1815 1114
60304 1814 1115
60308 1807 1122
60312 1781 1148
60316 1718 1211
60320 1568 1361
60324 1251 1678
60336 1747 1182
60340 1746 1183
60344 1739 1190
60348 1713 1216
60352 1653 1276
60356 1508 1421
60360 1195 1734
60372 1607 1322
60376 1606 1323
60380 1599 1330
60384 1574 1355
60388 1515 1414
60392 1380 1549
60396 1095 1834
60408 1349 1580
60412 1348 1581
60416 1341 1588
60420 1321 1608
60424 1273 1656
60428 1158 1771
60432 920 2009
60444 1003 1926
60448 1002 1927
60452 995 1934
60456 981 1948
60460 944 1985
62856 1187 1742
62860 1186 1743
62864 1179 1750
62868 1153 1776
62872 1090 1839
62876 938 1991
62892 1186 1743
62896 1185 1744
62900 1178 1751
62904 1152 1777
62908 1089 1840
62912 938 1991
62928 1153 1776
62932 1152 1777
62936 1145 1784
62940 1119 1810
62944 1059 1870
62948 913 2016
62964 1081 1848
62968 1080 1849
62972 1073 1856
62976 1048 1881
62980 989 1940
63000 911 2018
63004 910 2019
63008 903 2026
63012 883 2046
63180 1625 1304
63184 1624 1305
63188 1617 1312
63192 1591 1338
63196 1528 1401
63200 1376 1553
63204 1059 1870
63216 1620 1309
63220 1619 1310
63224 1612 1317
63228 1586 1343
63232 1523 1406
63236 1372 1557
63240 1055 1874
63252 1571 1358
63256 1570 1359
63260 1563 1366
63264 1537 1392
63268 1477 1452
63272 1331 1598
63276 1018 1911
63288 1453 1476
63292 1452 1477
63296 1445 1484
63300 1420 1509
63304 1361 1568
63308 1225 1704
63312 940 1989
63324 1216 1713
63328 1215 1714
63332 1208 1721
63336 1188 1741
63340 1140 1789
63344 1024 1905
63360 918 2011
63364 917 2012
63368 910 2019
63372 896 2033
63504 1800 1129
63508 1799 1130
63512 1792 1137
63516 1766 1163
63520 1703 1226
63524 1551 1378
63528 1234 1695
63540 1790 1139
63544 1789 1140
63548 1782 1147
63552 1756 1173
63556 1693 1236
63560 1542 1387
63564 1225 1704
63576 1724 1205
63580 1723 1206
63584 1716 1213
63588 1690 1239
63592 1630 1299
63596 1484 1445
63600 1171 1758
63612 1584 1345
63616 1583 1346
63620 1576 1353
63624 1551 1378
63628 1492 1437
63632 1356 1573
63636 1071 1858
63648 1329 1600
63652 1328 1601
63656 1321 1608
63660 1301 1628
63664 1253 1676
63668 1137 1792
63672 899 2030
63684 991 1938
63688 990 1939
63692 983 1946
63696 969 1960
63700 932 1997
63828 1826 1103
63832 1825 1104
63836 1818 1111
63840 1792 1137
63844 1729 1200
63848 1577 1352
63852 1260 1669
63864 1816 1113
63868 1815 1114
63872 1808 1121
63876 1782 1147
63880 1719 1210
63884 1568 1361
63888 1251 1678
63900 1748 1181
63904 1747 1182
63908 1740 1189
63912 1714 1215
63916 1654 1275
63920 1508 1421
63924 1195 1734
63936 1608 1321
63940 1607 1322
63944 1600 1329
63948 1575 1354
63952 1516 1413
63956 1380 1549
63960 1095 1834
63972 1350 1579
63976 1349 1580
63980 1342 1587
63984 1322 1607
63988 1274 1655
63992 1158 1771
63996 920 2009
64008 1004 1925
64012 1003 1926
64016 996 1933
64020 982 1947
64024 945 1984
