FeatureIndex Pos Neg
0 0.0119495 0.988051
4 0.0116081 0.988392
8 0.00990099 0.990099
12 0.00614544 0.993855
16 0.00238989 0.99761
20 0.000682827 0.999317
24 0.000341413 0.999659
28 0 1
32 0 1
36 0 1
40 0 1
44 0.0116081 0.988392
48 0.0116081 0.988392
52 0.00990099 0.990099
56 0.00614544 0.993855
60 0.00238989 0.99761
64 0.000682827 0.999317
68 0.000341413 0.999659
72 0 1
76 0 1
80 0 1
84 0 1
88 0.00990099 0.990099
92 0.00990099 0.990099
96 0.00990099 0.990099
100 0.00614544 0.993855
104 0.00238989 0.99761
108 0.000682827 0.999317
112 0.000341413 0.999659
116 0 1
120 0 1
124 0 1
128 0 1
132 0.00546262 0.994537
136 0.00546262 0.994537
140 0.00546262 0.994537
144 0.0051212 0.994879
148 0.00238989 0.99761
152 0.000682827 0.999317
156 0.000341413 0.999659
160 0 1
164 0 1
168 0 1
172 0 1
176 0.00238989 0.99761
180 0.00238989 0.99761
184 0.00238989 0.99761
188 0.00238989 0.99761
192 0.00238989 0.99761
196 0.000682827 0.999317
200 0.000341413 0.999659
204 0 1
208 0 1
212 0 1
216 0 1
220 0.00102424 0.998976
224 0.00102424 0.998976
228 0.00102424 0.998976
232 0.00102424 0.998976
236 0.00102424 0.998976
240 0.000682827 0.999317
244 0.000341413 0.999659
248 0 1
252 0 1
256 0 1
260 0 1
264 0.000341413 0.999659
268 0.000341413 0.999659
272 0.000341413 0.999659
276 0.000341413 0.999659
280 0.000341413 0.999659
284 0.000341413 0.999659
288 0.000341413 0.999659
292 0 1
296 0 1
300 0 1
304 0 1
308 0 1
312 0 1
316 0 1
320 0 1
324 0 1
328 0 1
332 0 1
336 0 1
340 0 1
344 0 1
348 0 1
352 0 1
356 0 1
360 0 1
364 0 1
368 0 1
372 0 1
376 0 1
380 0 1
384 0 1
388 0 1
392 0 1
396 0.0286787 0.971321
400 0.0283373 0.971663
404 0.0259474 0.974053
408 0.0187777 0.981222
412 0.00614544 0.993855
416 0.00204848 0.997952
420 0.000682827 0.999317
424 0 1
428 0 1
432 0 1
436 0 1
440 0.0279959 0.972004
444 0.0279959 0.972004
448 0.0259474 0.974053
452 0.0187777 0.981222
456 0.00614544 0.993855
460 0.00204848 0.997952
464 0.000682827 0.999317
468 0 1
472 0 1
476 0 1
480 0 1
484 0.0228747 0.977125
488 0.0228747 0.977125
492 0.0228747 0.977125
496 0.0184363 0.981564
500 0.00614544 0.993855
504 0.00204848 0.997952
508 0.000682827 0.999317
512 0 1
516 0 1
520 0 1
524 0 1
528 0.0102424 0.989758
532 0.0102424 0.989758
536 0.0102424 0.989758
540 0.00990099 0.990099
544 0.00580403 0.994196
548 0.00204848 0.997952
552 0.000682827 0.999317
556 0 1
560 0 1
564 0 1
568 0 1
572 0.00409696 0.995903
576 0.00409696 0.995903
580 0.00409696 0.995903
584 0.00409696 0.995903
588 0.00409696 0.995903
592 0.00204848 0.997952
596 0.000682827 0.999317
600 0 1
604 0 1
608 0 1
612 0 1
616 0.00136565 0.998634
620 0.00136565 0.998634
624 0.00136565 0.998634
628 0.00136565 0.998634
632 0.00136565 0.998634
636 0.00102424 0.998976
640 0.000682827 0.999317
644 0 1
648 0 1
652 0 1
656 0 1
660 0.000682827 0.999317
664 0.000682827 0.999317
668 0.000682827 0.999317
672 0.000682827 0.999317
676 0.000682827 0.999317
680 0.000682827 0.999317
684 0.000682827 0.999317
688 0 1
692 0 1
696 0 1
700 0 1
704 0 1
708 0 1
712 0 1
