Index 0->Feature of type 0 starts(3, 5) ends(22, 9) in (x, y) format
Index 1->Feature of type 1 starts(3, 5) ends(22, 9) in (x, y) format
Index 2->Feature of type 2 starts(3, 5) ends(22, 9) in (x, y) format
Index 3->Feature of type 3 starts(3, 5) ends(22, 9) in (x, y) format
Index 4->Feature of type 0 starts(3, 5) ends(22, 10) in (x, y) format
Index 5->Feature of type 1 starts(3, 5) ends(22, 10) in (x, y) format
Index 6->Feature of type 2 starts(3, 5) ends(22, 10) in (x, y) format
Index 7->Feature of type 3 starts(3, 5) ends(22, 10) in (x, y) format
Index 8->Feature of type 0 starts(3, 5) ends(22, 11) in (x, y) format
Index 9->Feature of type 1 starts(3, 5) ends(22, 11) in (x, y) format
Index 10->Feature of type 2 starts(3, 5) ends(22, 11) in (x, y) format
Index 11->Feature of type 3 starts(3, 5) ends(22, 11) in (x, y) format
Index 12->Feature of type 0 starts(3, 5) ends(23, 9) in (x, y) format
Index 13->Feature of type 1 starts(3, 5) ends(23, 9) in (x, y) format
Index 14->Feature of type 2 starts(3, 5) ends(23, 9) in (x, y) format
Index 15->Feature of type 3 starts(3, 5) ends(23, 9) in (x, y) format
Index 16->Feature of type 0 starts(3, 5) ends(23, 10) in (x, y) format
Index 17->Feature of type 1 starts(3, 5) ends(23, 10) in (x, y) format
Index 18->Feature of type 2 starts(3, 5) ends(23, 10) in (x, y) format
Index 19->Feature of type 3 starts(3, 5) ends(23, 10) in (x, y) format
Index 20->Feature of type 0 starts(3, 5) ends(23, 11) in (x, y) format
Index 21->Feature of type 1 starts(3, 5) ends(23, 11) in (x, y) format
Index 22->Feature of type 2 starts(3, 5) ends(23, 11) in (x, y) format
Index 23->Feature of type 3 starts(3, 5) ends(23, 11) in (x, y) format
Index 24->Feature of type 0 starts(3, 5) ends(24, 9) in (x, y) format
Index 25->Feature of type 1 starts(3, 5) ends(24, 9) in (x, y) format
Index 26->Feature of type 2 starts(3, 5) ends(24, 9) in (x, y) format
Index 27->Feature of type 3 starts(3, 5) ends(24, 9) in (x, y) format
Index 28->Feature of type 0 starts(3, 5) ends(24, 10) in (x, y) format
Index 29->Feature of type 1 starts(3, 5) ends(24, 10) in (x, y) format
Index 30->Feature of type 2 starts(3, 5) ends(24, 10) in (x, y) format
Index 31->Feature of type 3 starts(3, 5) ends(24, 10) in (x, y) format
Index 32->Feature of type 0 starts(3, 5) ends(24, 11) in (x, y) format
Index 33->Feature of type 1 starts(3, 5) ends(24, 11) in (x, y) format
Index 34->Feature of type 2 starts(3, 5) ends(24, 11) in (x, y) format
Index 35->Feature of type 3 starts(3, 5) ends(24, 11) in (x, y) format
Index 36->Feature of type 0 starts(3, 5) ends(25, 9) in (x, y) format
Index 37->Feature of type 1 starts(3, 5) ends(25, 9) in (x, y) format
Index 38->Feature of type 2 starts(3, 5) ends(25, 9) in (x, y) format
Index 39->Feature of type 3 starts(3, 5) ends(25, 9) in (x, y) format
Index 40->Feature of type 0 starts(3, 5) ends(25, 10) in (x, y) format
Index 41->Feature of type 1 starts(3, 5) ends(25, 10) in (x, y) format
Index 42->Feature of type 2 starts(3, 5) ends(25, 10) in (x, y) format
Index 43->Feature of type 3 starts(3, 5) ends(25, 10) in (x, y) format
Index 44->Feature of type 0 starts(3, 5) ends(25, 11) in (x, y) format
Index 45->Feature of type 1 starts(3, 5) ends(25, 11) in (x, y) format
Index 46->Feature of type 2 starts(3, 5) ends(25, 11) in (x, y) format
Index 47->Feature of type 3 starts(3, 5) ends(25, 11) in (x, y) format
Index 48->Feature of type 0 starts(3, 5) ends(26, 9) in (x, y) format
Index 49->Feature of type 1 starts(3, 5) ends(26, 9) in (x, y) format
Index 50->Feature of type 2 starts(3, 5) ends(26, 9) in (x, y) format
Index 51->Feature of type 3 starts(3, 5) ends(26, 9) in (x, y) format
Index 52->Feature of type 0 starts(3, 5) ends(26, 10) in (x, y) format
Index 53->Feature of type 1 starts(3, 5) ends(26, 10) in (x, y) format
