[0, [0, 0, inf], [0, 0, inf]]
[1, [0, 0, inf], [0, 0, inf]]
[2, [0, 0, inf], [0, 0, inf]]
[3, [0, 0, inf], [0, 0, inf]]
[4, [0, 0, inf], [0, 0, inf]]
[5, [0, 0, inf], [0, 0, inf]]
[6, [0, 0, inf], [0, 0, inf]]
[7, [0, 0, inf], [0, 0, inf]]
[8, [0, 0, inf], [0, 0, inf]]
[9, [0, 0, inf], [0, 0, inf]]
[10, [0, 0, inf], [0, 0, inf]]
[11, [0, 0, inf], [0, 0, inf]]
[12, [0, 0, inf], [0, 0, inf]]
[13, [0, 0, inf], [0, 0, inf]]
[14, [0, 0, inf], [0, 0, inf]]
[15, [0, 0, inf], [0, 0, inf]]
[16, [0, 0, inf], [0, 0, inf]]
[17, [0, 0, inf], [0, 0, inf]]
[18, [0, 0, inf], [0, 0, inf]]
[19, [0, 0, inf], [0, 0, inf]]
[20, [0, 0, inf], [0, 0, inf]]
[21, [0, 0, inf], [0, 0, inf]]
[22, [0, 0, inf], [0, 0, inf]]
[23, [0, 0, inf], [0, 0, inf]]
[24, [0, 0, inf], [0, 0, inf]]
[25, [0, 0, inf], [0, 0, inf]]
[26, [0, 0, inf], [0, 0, inf]]
[27, [0, 0, inf], [0, 0, inf]]
[28, [0, 0, inf], [0, 0, inf]]
[29, [0, 0, inf], [0, 0, inf]]
[30, [0, 0, inf], [0, 0, inf]]
[31, [0, 0, inf], [0, 0, inf]]
[32, [0, 0, inf], [0, 0, inf]]
[33, [0, 0, inf], [0, 0, inf]]
[34, [0, 0, inf], [0, 0, inf]]
[35, [0, 0, inf], [0, 0, inf]]
[36, [0, 0, inf], [0, 0, inf]]
[37, [0, 0, inf], [0, 0, inf]]
[38, [0, 0, inf], [0, 0, inf]]
[39, [0, 0, inf], [0, 0, inf]]
[40, [0, 0, inf], [0, 0, inf]]
[41, [0, 0, inf], [0, 0, inf]]
[42, [0, 0, inf], [0, 0, inf]]
[43, [0, 0, inf], [0, 0, inf]]
[44, [0, 0, inf], [0, 0, inf]]
[45, [0, 0, inf], [0, 0, inf]]
[46, [0, 0, inf], [0, 0, inf]]
[47, [0, 0, inf], [0, 0, inf]]
[48, [0, 0, inf], [0, 0, inf]]
[49, [0, 0, inf], [0, 0, inf]]
[50, [0, 0, inf], [0, 0, inf]]
[51, [0, 0, inf], [0, 0, inf]]
[52, [0, 0, inf], [0, 0, inf]]
[53, [0, 0, inf], [0, 0, inf]]
[54, [0, 0, inf], [0, 0, inf]]
[55, [0, 0, inf], [0, 0, inf]]
[56, [0, 0, inf], [0, 0, inf]]
[57, [0, 0, inf], [0, 0, inf]]
[58, [0, 0, inf], [0, 0, inf]]
[59, [0, 0, inf], [0, 0, inf]]
[60, [0, 0, inf], [0, 0, inf]]
[61, [0, 0, inf], [0, 0, inf]]
[62, [0, 0, inf], [0, 0, inf]]
[63, [0, 0, inf], [0, 0, inf]]
[64, [0, 0, inf], [0, 0, inf]]
[65, [0, 0, inf], [0, 0, inf]]
[66, [0, 0, inf], [0, 0, inf]]
[67, [0, 0, inf], [0, 0, inf]]
[68, [14, -527722.20087336, 0.3844444444444444], [0, 0, inf]]
[69, [14, -730912.419213973, 0.0025000000000000005], [0, 0, inf]]
[70, [39, -1279044.266666669, 0.00390625], [0, 0, inf]]
[71, [39, -63715.55555555783, 0.0], [14, 122486.49781659152, 0.14927685950413222]]
[72, [0, 0, inf], [0, 0, inf]]
[73, [0, 0, inf], [0, 0, inf]]
[74, [0, 0, inf], [0, 0, inf]]
[75, [0, 0, inf], [0, 0, inf]]
[76, [0, 0, inf], [0, 0, inf]]
[77, [0, 0, inf], [0, 0, inf]]
[78, [0, 0, inf], [0, 0, inf]]
[79, [0, 0, inf], [0, 0, inf]]
[80, [14, -377189.72925764136, 0.1936], [49, 804833.73399015, 0.2830578512396694]]
[81, [14, -740642.6550218323, 0.0], [0, 0, inf]]
[82, [49, -1354948.7290640408, 0.007243096423721141], [0, 0, inf]]
[83, [39, -107406.22222222388, 0.0], [14, 112756.26200873498, 0.1563007030827474]]
[84, [0, 0, inf], [0, 0, inf]]
[85, [0, 0, inf], [0, 0, inf]]
[86, [0, 0, inf], [0, 0, inf]]
[87, [0, 0, inf], [0, 0, inf]]
[88, [0, 0, inf], [0, 0, inf]]
[89, [0, 0, inf], [0, 0, inf]]
[90, [0, 0, inf], [0, 0, inf]]
[91, [0, 0, inf], [0, 0, inf]]
[92, [14, -793586.5851528365, 0.28114186851211076], [49, 355444.0197044336, 0.42361111111111116]]
[93, [40, -692760.1256544525, 0.0], [0, 0, inf]]
[94, [49, -1510556.3743842384, 0.004253308128544423], [0, 0, inf]]
[95, [39, -145271.46666667145, 0.0], [49, 166261.28078817436, 0.16519439937503755]]
[96, [0, 0, inf], [0, 0, inf]]
[97, [0, 0, inf], [0, 0, inf]]
[98, [0, 0, inf], [0, 0, inf]]
[99, [0, 0, inf], [0, 0, inf]]
[100, [0, 0, inf], [0, 0, inf]]
[101, [0, 0, inf], [0, 0, inf]]
[102, [0, 0, inf], [0, 0, inf]]
[103, [0, 0, inf], [0, 0, inf]]
[104, [0, 0, inf], [0, 0, inf]]
[105, [0, 0, inf], [0, 0, inf]]
[106, [0, 0, inf], [0, 0, inf]]
[107, [0, 0, inf], [0, 0, inf]]
[108, [0, 0, inf], [0, 0, inf]]
[109, [0, 0, inf], [0, 0, inf]]
[110, [0, 0, inf], [0, 0, inf]]
[111, [0, 0, inf], [0, 0, inf]]
[112, [0, 0, inf], [0, 0, inf]]
[113, [0, 0, inf], [0, 0, inf]]
[114, [0, 0, inf], [0, 0, inf]]
[115, [0, 0, inf], [0, 0, inf]]
[116, [0, 0, inf], [0, 0, inf]]
[117, [0, 0, inf], [0, 0, inf]]
[118, [0, 0, inf], [0, 0, inf]]
[119, [0, 0, inf], [0, 0, inf]]
[120, [0, 0, inf], [0, 0, inf]]
[121, [0, 0, inf], [0, 0, inf]]
[122, [0, 0, inf], [0, 0, inf]]
[123, [0, 0, inf], [0, 0, inf]]
[124, [0, 0, inf], [0, 0, inf]]
[125, [0, 0, inf], [0, 0, inf]]
[126, [0, 0, inf], [0, 0, inf]]
[127, [0, 0, inf], [0, 0, inf]]
[128, [0, 0, inf], [0, 0, inf]]
[129, [0, 0, inf], [0, 0, inf]]
[130, [0, 0, inf], [0, 0, inf]]
[131, [0, 0, inf], [0, 0, inf]]
[132, [0, 0, inf], [0, 0, inf]]
[133, [0, 0, inf], [0, 0, inf]]
[134, [0, 0, inf], [0, 0, inf]]
[135, [0, 0, inf], [0, 0, inf]]
[136, [0, 0, inf], [0, 0, inf]]
[137, [0, 0, inf], [0, 0, inf]]
[138, [0, 0, inf], [0, 0, inf]]
[139, [0, 0, inf], [0, 0, inf]]
[140, [0, 0, inf], [0, 0, inf]]
[141, [0, 0, inf], [0, 0, inf]]
[142, [0, 0, inf], [0, 0, inf]]
[143, [0, 0, inf], [0, 0, inf]]
[144, [0, 0, inf], [0, 0, inf]]
[145, [0, 0, inf], [0, 0, inf]]
[146, [0, 0, inf], [0, 0, inf]]
[147, [0, 0, inf], [0, 0, inf]]
[148, [0, 0, inf], [0, 0, inf]]
[149, [0, 0, inf], [0, 0, inf]]
[150, [0, 0, inf], [0, 0, inf]]
[151, [0, 0, inf], [0, 0, inf]]
[152, [0, 0, inf], [39, 134712.88888889272, 0.5625]]
[153, [39, -1004885.333333334, 0.0], [0, 0, inf]]
[154, [39, -1572135.822222225, 0.006663890045814243], [0, 0, inf]]
[155, [39, -88837.68888889067, 0.0], [0, 0, inf]]
[156, [0, 0, inf], [0, 0, inf]]
[157, [0, 0, inf], [0, 0, inf]]
[158, [0, 0, inf], [0, 0, inf]]
[159, [0, 0, inf], [0, 0, inf]]
[160, [0, 0, inf], [0, 0, inf]]
[161, [0, 0, inf], [0, 0, inf]]
[162, [0, 0, inf], [0, 0, inf]]
[163, [0, 0, inf], [0, 0, inf]]
[164, [39, -178403.55555555224, 0.7275086505190311], [49, 295719.09359606076, 0.18367346938775508]]
[165, [49, -756085.2807881813, 0.0], [0, 0, inf]]
[166, [49, -1208057.6945812833, 0.006944444444444444], [0, 0, inf]]
[167, [39, -152189.15555556212, 0.0], [49, 149150.89655171987, 0.09140075716603568]]
[168, [0, 0, inf], [0, 0, inf]]
[169, [0, 0, inf], [0, 0, inf]]
[170, [0, 0, inf], [0, 0, inf]]
[171, [0, 0, inf], [0, 0, inf]]
[172, [0, 0, inf], [0, 0, inf]]
[173, [0, 0, inf], [0, 0, inf]]
[174, [0, 0, inf], [0, 0, inf]]
[175, [0, 0, inf], [0, 0, inf]]
[176, [39, -21845.33333333023, 0.9322235434007136], [49, 451326.73891625647, 0.3611111111111111]]
[177, [40, -666339.8534031427, 0.0025000000000000005], [0, 0, inf]]
[178, [49, -1363665.3399014808, 0.007243096423721141], [0, 0, inf]]
[179, [39, -170393.60000000428, 0.0], [49, 145922.52216748428, 0.0380725758477097]]
[180, [0, 0, inf], [0, 0, inf]]
[181, [0, 0, inf], [0, 0, inf]]
[182, [0, 0, inf], [0, 0, inf]]
[183, [0, 0, inf], [0, 0, inf]]
