Feature of type 0 starts(3, 5) ends(22, 9) in (x, y) format
Feature of type 1 starts(3, 5) ends(22, 9) in (x, y) format
Feature of type 2 starts(3, 5) ends(22, 9) in (x, y) format
Feature of type 3 starts(3, 5) ends(22, 9) in (x, y) format
Feature of type 0 starts(3, 5) ends(22, 10) in (x, y) format
Feature of type 1 starts(3, 5) ends(22, 10) in (x, y) format
Feature of type 2 starts(3, 5) ends(22, 10) in (x, y) format
Feature of type 3 starts(3, 5) ends(22, 10) in (x, y) format
Feature of type 0 starts(3, 5) ends(22, 11) in (x, y) format
Feature of type 1 starts(3, 5) ends(22, 11) in (x, y) format
Feature of type 2 starts(3, 5) ends(22, 11) in (x, y) format
Feature of type 3 starts(3, 5) ends(22, 11) in (x, y) format
Feature of type 0 starts(3, 5) ends(23, 9) in (x, y) format
Feature of type 1 starts(3, 5) ends(23, 9) in (x, y) format
Feature of type 2 starts(3, 5) ends(23, 9) in (x, y) format
Feature of type 3 starts(3, 5) ends(23, 9) in (x, y) format
Feature of type 0 starts(3, 5) ends(23, 10) in (x, y) format
Feature of type 1 starts(3, 5) ends(23, 10) in (x, y) format
Feature of type 2 starts(3, 5) ends(23, 10) in (x, y) format
Feature of type 3 starts(3, 5) ends(23, 10) in (x, y) format
Feature of type 0 starts(3, 5) ends(23, 11) in (x, y) format
Feature of type 1 starts(3, 5) ends(23, 11) in (x, y) format
Feature of type 2 starts(3, 5) ends(23, 11) in (x, y) format
Feature of type 3 starts(3, 5) ends(23, 11) in (x, y) format
Feature of type 0 starts(3, 5) ends(24, 9) in (x, y) format
Feature of type 1 starts(3, 5) ends(24, 9) in (x, y) format
Feature of type 2 starts(3, 5) ends(24, 9) in (x, y) format
Feature of type 3 starts(3, 5) ends(24, 9) in (x, y) format
Feature of type 0 starts(3, 5) ends(24, 10) in (x, y) format
Feature of type 1 starts(3, 5) ends(24, 10) in (x, y) format
Feature of type 2 starts(3, 5) ends(24, 10) in (x, y) format
Feature of type 3 starts(3, 5) ends(24, 10) in (x, y) format
Feature of type 0 starts(3, 5) ends(24, 11) in (x, y) format
Feature of type 1 starts(3, 5) ends(24, 11) in (x, y) format
Feature of type 2 starts(3, 5) ends(24, 11) in (x, y) format
Feature of type 3 starts(3, 5) ends(24, 11) in (x, y) format
Feature of type 0 starts(3, 5) ends(25, 9) in (x, y) format
Feature of type 1 starts(3, 5) ends(25, 9) in (x, y) format
Feature of type 2 starts(3, 5) ends(25, 9) in (x, y) format
Feature of type 3 starts(3, 5) ends(25, 9) in (x, y) format
Feature of type 0 starts(3, 5) ends(25, 10) in (x, y) format
Feature of type 1 starts(3, 5) ends(25, 10) in (x, y) format
Feature of type 2 starts(3, 5) ends(25, 10) in (x, y) format
Feature of type 3 starts(3, 5) ends(25, 10) in (x, y) format
Feature of type 0 starts(3, 5) ends(25, 11) in (x, y) format
Feature of type 1 starts(3, 5) ends(25, 11) in (x, y) format
Feature of type 2 starts(3, 5) ends(25, 11) in (x, y) format
Feature of type 3 starts(3, 5) ends(25, 11) in (x, y) format
Feature of type 0 starts(3, 5) ends(26, 9) in (x, y) format
Feature of type 1 starts(3, 5) ends(26, 9) in (x, y) format
Feature of type 2 starts(3, 5) ends(26, 9) in (x, y) format
Feature of type 3 starts(3, 5) ends(26, 9) in (x, y) format
Feature of type 0 starts(3, 5) ends(26, 10) in (x, y) format
Feature of type 1 starts(3, 5) ends(26, 10) in (x, y) format
Feature of type 2 starts(3, 5) ends(26, 10) in (x, y) format
Feature of type 3 starts(3, 5) ends(26, 10) in (x, y) format
Feature of type 0 starts(3, 5) ends(26, 11) in (x, y) format
Feature of type 1 starts(3, 5) ends(26, 11) in (x, y) format
