[0, [7, 9, 25, 13]]
[1, [7, 9, 25, 11]]
[2, [7, 9, 25, 11]]
[3, [6, 7, 26, 11]]
[4, [8, 9, 26, 13]]
[5, [6, 9, 25, 14]]
[6, [8, 9, 28, 15]]
[7, [8, 9, 25, 13]]
[8, [8, 9, 25, 13]]
[9, [8, 9, 27, 15]]
[10, [8, 9, 25, 13]]
[11, [8, 9, 25, 13]]
[12, [8, 9, 25, 13]]
[13, [7, 9, 25, 13]]
[14, [8, 6, 27, 10]]
[15, [8, 9, 25, 14]]
[16, [8, 9, 25, 13]]
[17, [8, 9, 25, 13]]
[18, [7, 9, 25, 13]]
[19, [8, 9, 25, 13]]
[20, [8, 9, 25, 13]]
[21, [8, 9, 25, 11]]
[22, [8, 9, 25, 13]]
[23, [8, 9, 25, 13]]
[24, [8, 9, 25, 13]]
[25, [8, 9, 25, 13]]
[26, [8, 9, 25, 14]]
[27, [7, 9, 25, 13]]
[28, [8, 9, 25, 14]]
[29, [8, 9, 25, 14]]
[30, [6, 9, 25, 14]]
[31, [8, 9, 27, 14]]
[32, [8, 7, 26, 11]]
[33, [4, 7, 27, 12]]
[34, [6, 7, 26, 12]]
[35, [7, 9, 25, 11]]
[36, [6, 7, 27, 11]]
[37, [6, 7, 28, 11]]
[38, [7, 9, 25, 11]]
[39, [5, 6, 27, 11]]
[40, [6, 6, 28, 11]]
[41, [6, 9, 25, 13]]
[42, [8, 9, 27, 12]]
[43, [8, 7, 28, 11]]
[44, [7, 5, 30, 10]]
[45, [5, 7, 27, 12]]
[46, [5, 7, 27, 11]]
[47, [8, 9, 27, 15]]
[48, [4, 7, 26, 12]]
[49, [6, 6, 28, 11]]
