[0, 0.0005013706485150491]
[1, 0.0005013706485150491]
[2, 0.0005013706485150491]
[3, 0.0005013706485150491]
[4, 0.0005013706485150491]
[5, 0.0005013706485150491]
[6, 0.0005013706485150491]
[7, 0.0005013706485150491]
[8, 0.0005013706485150491]
[9, 0.0005013706485150491]
[10, 0.0005013706485150491]
[11, 0.0005013706485150491]
[12, 0.0005013706485150491]
[13, 0.0005013706485150491]
[14, 0.0005013706485150491]
[15, 0.0005013706485150491]
[16, 0.0005013706485150491]
[17, 0.0005013706485150491]
[18, 0.0005013706485150491]
[19, 0.0005013706485150491]
[20, 0.0005013706485150491]
[21, 0.0005013706485150491]
[22, 0.0005013706485150491]
[23, 0.0005013706485150491]
[24, 0.0005013706485150491]
[25, 0.0005013706485150491]
[26, 0.0005013706485150491]
[27, 0.0005013706485150491]
[28, 0.0005013706485150491]
[29, 0.0005013706485150491]
[30, 0.0005013706485150491]
[31, 0.0005013706485150491]
[32, 0.0005013706485150491]
[33, 0.0005013706485150491]
[34, 0.0005013706485150491]
[35, 0.0005013706485150491]
[36, 0.0005013706485150491]
[37, 0.0005013706485150491]
[38, 0.0005013706485150491]
[39, 0.0005013706485150491]
[40, 0.0005013706485150491]
[41, 0.0005013706485150491]
[42, 0.0005013706485150491]
[43, 0.0005013706485150491]
[44, 0.0005013706485150491]
[45, 0.0005013706485150491]
[46, 0.0005013706485150491]
[47, 0.0005013706485150491]
[48, 0.0005013706485150491]
[49, 0.0005013706485150491]
[50, 0.0005013706485150491]
[51, 0.0005013706485150491]
[52, 0.0005013706485150491]
[53, 0.0005013706485150491]
[54, 0.0005013706485150491]
[55, 0.0005013706485150491]
[56, 0.0005013706485150491]
[57, 0.0005013706485150491]
[58, 0.0005013706485150491]
[59, 0.0005013706485150491]
[60, 0.0005013706485150491]
[61, 0.0005013706485150491]
[62, 0.0005013706485150491]
[63, 0.0005013706485150491]
[64, 0.0005013706485150491]
[65, 0.0005013706485150491]
[66, 0.0005013706485150491]
[67, 0.0005013706485150491]
[68, 0.00018806911143838992]
[69, 5.228163297373086e-05]
[70, 5.3822735962966754e-08]
[71, 1.2022819136722485e-08]
[72, 0.0005013706485150491]
[73, 0.0005013706485150491]
[74, 0.0005013706485150491]
[75, 0.0005013706485150491]
[76, 0.0005013706485150491]
[77, 0.0005013706485150491]
[78, 0.0005013706485150491]
[79, 0.0005013706485150491]
[80, 8.360361737030836e-05]
[81, 3.7347001684618164e-05]
