186->Feature of type 2 starts(4, 5) ends(30, 10) in (x, y) format
270->Feature of type 2 starts(5, 5) ends(30, 10) in (x, y) format
282->Feature of type 2 starts(5, 5) ends(31, 10) in (x, y) format
442->Feature of type 2 starts(7, 5) ends(30, 11) in (x, y) format
641->Feature of type 1 starts(3, 6) ends(27, 11) in (x, y) format
665->Feature of type 1 starts(3, 6) ends(29, 11) in (x, y) format
725->Feature of type 1 starts(4, 6) ends(27, 11) in (x, y) format
809->Feature of type 1 starts(5, 6) ends(27, 11) in (x, y) format
945->Feature of type 1 starts(6, 6) ends(31, 12) in (x, y) format
957->Feature of type 1 starts(6, 6) ends(31, 12) in (x, y) format
354->Feature of type 2 starts(6, 5) ends(30, 10) in (x, y) format
366->Feature of type 2 starts(6, 5) ends(31, 10) in (x, y) format
378->Feature of type 2 starts(6, 5) ends(31, 10) in (x, y) format
438->Feature of type 2 starts(7, 5) ends(30, 10) in (x, y) format
454->Feature of type 2 starts(7, 5) ends(31, 11) in (x, y) format
466->Feature of type 2 starts(7, 5) ends(31, 11) in (x, y) format
478->Feature of type 2 starts(7, 5) ends(31, 11) in (x, y) format
526->Feature of type 2 starts(8, 5) ends(30, 11) in (x, y) format
538->Feature of type 2 starts(8, 5) ends(31, 11) in (x, y) format
550->Feature of type 2 starts(8, 5) ends(31, 11) in (x, y) format
562->Feature of type 2 starts(8, 5) ends(31, 11) in (x, y) format
574->Feature of type 2 starts(8, 5) ends(31, 11) in (x, y) format
726->Feature of type 2 starts(4, 6) ends(27, 11) in (x, y) format
821->Feature of type 1 starts(5, 6) ends(28, 11) in (x, y) format
1385->Feature of type 1 starts(5, 7) ends(27, 12) in (x, y) format
653->Feature of type 1 starts(3, 6) ends(28, 11) in (x, y) format
749->Feature of type 1 starts(4, 6) ends(29, 11) in (x, y) format
761->Feature of type 1 starts(4, 6) ends(30, 11) in (x, y) format
814->Feature of type 2 starts(5, 6) ends(27, 12) in (x, y) format
833->Feature of type 1 starts(5, 6) ends(29, 11) in (x, y) format
845->Feature of type 1 starts(5, 6) ends(30, 11) in (x, y) format
857->Feature of type 1 starts(5, 6) ends(31, 11) in (x, y) format
669->Feature of type 1 starts(3, 6) ends(29, 12) in (x, y) format
633->Feature of type 1 starts(3, 6) ends(26, 12) in (x, y) format
810->Feature of type 2 starts(5, 6) ends(27, 11) in (x, y) format
905->Feature of type 1 starts(6, 6) ends(28, 11) in (x, y) format
737->Feature of type 1 starts(4, 6) ends(28, 11) in (x, y) format
909->Feature of type 1 starts(6, 6) ends(28, 12) in (x, y) format
917->Feature of type 1 starts(6, 6) ends(29, 11) in (x, y) format
929->Feature of type 1 starts(6, 6) ends(30, 11) in (x, y) format
941->Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
