Feature of type 0 starts(5, 3) ends(15, 16) is 0
Feature of type 1 starts(5, 3) ends(26, 5) is 0
Feature of type 2 starts(5, 3) ends(12, 19) is 0
Feature of type 3 starts(5, 3) ends(17, 14) is 0
Feature of type 0 starts(5, 3) ends(15, 17) is 0
Feature of type 1 starts(5, 3) ends(26, 6) is 0
Feature of type 2 starts(5, 3) ends(12, 20) is 0
Feature of type 3 starts(5, 3) ends(17, 15) is 0
Feature of type 0 starts(5, 3) ends(15, 17) is 0
Feature of type 1 starts(5, 3) ends(27, 5) is 0
Feature of type 2 starts(5, 3) ends(13, 19) is 0
Feature of type 3 starts(5, 3) ends(17, 15) is 0
Feature of type 0 starts(5, 3) ends(15, 18) is 0
Feature of type 1 starts(5, 3) ends(27, 6) is 0
Feature of type 2 starts(5, 3) ends(13, 20) is 0
Feature of type 3 starts(5, 3) ends(17, 16) is 0
Feature of type 0 starts(5, 3) ends(16, 17) is 0
Feature of type 1 starts(5, 3) ends(28, 5) is 0
Feature of type 2 starts(5, 3) ends(12, 21) is 0
Feature of type 3 starts(5, 3) ends(18, 15) is 0
Feature of type 0 starts(5, 3) ends(16, 18) is 0
Feature of type 1 starts(5, 3) ends(28, 6) is 0
Feature of type 2 starts(5, 3) ends(12, 22) is 0
Feature of type 3 starts(5, 3) ends(18, 16) is 0
Feature of type 0 starts(5, 3) ends(16, 18) is 0
Feature of type 1 starts(5, 3) ends(29, 5) is 0
Feature of type 2 starts(5, 3) ends(13, 21) is 0
Feature of type 3 starts(5, 3) ends(18, 16) is 0
Feature of type 0 starts(5, 3) ends(16, 19) is 0
Feature of type 1 starts(5, 3) ends(29, 6) is 0
Feature of type 2 starts(5, 3) ends(13, 22) is 0
Feature of type 3 starts(5, 3) ends(18, 17) is 0
Feature of type 0 starts(5, 3) ends(17, 18) is 0
Feature of type 1 starts(5, 3) ends(30, 5) is 0
Feature of type 2 starts(5, 3) ends(14, 21) is 0
Feature of type 3 starts(5, 3) ends(19, 16) is 0
Feature of type 0 starts(5, 3) ends(17, 19) is 0
Feature of type 1 starts(5, 3) ends(30, 6) is 0
Feature of type 2 starts(5, 3) ends(14, 22) is 0
Feature of type 3 starts(5, 3) ends(19, 17) is 0
Feature of type 0 starts(5, 3) ends(17, 19) is 0
Feature of type 1 starts(5, 3) ends(31, 5) is 0
Feature of type 2 starts(5, 3) ends(13, 23) is 0
Feature of type 3 starts(5, 3) ends(19, 17) is 0
Feature of type 0 starts(5, 3) ends(17, 20) is 0
Feature of type 1 starts(5, 3) ends(31, 6) is 0
Feature of type 2 starts(5, 3) ends(13, 24) is 0
Feature of type 3 starts(5, 3) ends(19, 18) is 0
Feature of type 0 starts(5, 3) ends(18, 19) is 0
Feature of type 1 starts(5, 3) ends(32, 5) is 0
Feature of type 2 starts(5, 3) ends(14, 23) is 0
Feature of type 3 starts(5, 3) ends(20, 17) is 0
Feature of type 0 starts(5, 3) ends(18, 20) is 0
Feature of type 1 starts(5, 3) ends(32, 6) is 0
Feature of type 2 starts(5, 3) ends(14, 24) is 0
Feature of type 3 starts(5, 3) ends(20, 18) is 0
Feature of type 0 starts(5, 4) ends(15, 17) is 0
Feature of type 1 starts(5, 4) ends(26, 6) is 0
Feature of type 2 starts(5, 4) ends(12, 20) is 0
Feature of type 3 starts(5, 4) ends(17, 15) is 0
Feature of type 0 starts(5, 4) ends(15, 18) is 0
Feature of type 1 starts(5, 4) ends(26, 7) is 0
Feature of type 2 starts(5, 4) ends(12, 21) is 0
Feature of type 3 starts(5, 4) ends(17, 16) is 0
Feature of type 0 starts(5, 4) ends(15, 18) is 0
Feature of type 1 starts(5, 4) ends(27, 6) is 0
Feature of type 2 starts(5, 4) ends(13, 20) is 0
Feature of type 3 starts(5, 4) ends(17, 16) is 0
Feature of type 0 starts(5, 4) ends(15, 19) is 0
Feature of type 1 starts(5, 4) ends(27, 7) is 0
Feature of type 2 starts(5, 4) ends(13, 21) is 0
Feature of type 3 starts(5, 4) ends(17, 17) is 0
Feature of type 0 starts(5, 4) ends(16, 18) is 0
Feature of type 1 starts(5, 4) ends(28, 6) is 0
Feature of type 2 starts(5, 4) ends(12, 22) is 0
Feature of type 3 starts(5, 4) ends(18, 16) is 0
Feature of type 0 starts(5, 4) ends(16, 19) is 0
Feature of type 1 starts(5, 4) ends(28, 7) is 0
Feature of type 2 starts(5, 4) ends(12, 23) is 0
Feature of type 3 starts(5, 4) ends(18, 17) is 0
Feature of type 0 starts(5, 4) ends(16, 19) is 0
Feature of type 1 starts(5, 4) ends(29, 6) is 0
Feature of type 2 starts(5, 4) ends(13, 22) is 0
Feature of type 3 starts(5, 4) ends(18, 17) is 0
Feature of type 0 starts(5, 4) ends(16, 20) is 0
Feature of type 1 starts(5, 4) ends(29, 7) is 0
Feature of type 2 starts(5, 4) ends(13, 23) is 0
Feature of type 3 starts(5, 4) ends(18, 18) is 0
Feature of type 0 starts(5, 4) ends(17, 19) is 0
Feature of type 1 starts(5, 4) ends(30, 6) is 0
Feature of type 2 starts(5, 4) ends(14, 22) is 0
Feature of type 3 starts(5, 4) ends(19, 17) is 0
Feature of type 0 starts(5, 4) ends(17, 20) is 0
Feature of type 1 starts(5, 4) ends(30, 7) is 0
Feature of type 2 starts(5, 4) ends(14, 23) is 0
Feature of type 3 starts(5, 4) ends(19, 18) is 0
Feature of type 0 starts(5, 4) ends(17, 20) is 0
Feature of type 1 starts(5, 4) ends(31, 6) is 0
Feature of type 2 starts(5, 4) ends(13, 24) is 0
Feature of type 3 starts(5, 4) ends(19, 18) is 0
Feature of type 0 starts(5, 4) ends(17, 21) is 0
Feature of type 1 starts(5, 4) ends(31, 7) is 0
Feature of type 2 starts(5, 4) ends(13, 25) is 0
Feature of type 3 starts(5, 4) ends(19, 19) is 0
Feature of type 0 starts(5, 4) ends(18, 20) is 0
Feature of type 1 starts(5, 4) ends(32, 6) is 0
Feature of type 2 starts(5, 4) ends(14, 24) is 0
Feature of type 3 starts(5, 4) ends(20, 18) is 0
Feature of type 0 starts(5, 4) ends(18, 21) is 0
Feature of type 1 starts(5, 4) ends(32, 7) is 0
Feature of type 2 starts(5, 4) ends(14, 25) is 0
Feature of type 3 starts(5, 4) ends(20, 19) is 0
Feature of type 0 starts(5, 5) ends(15, 18) is 0
Feature of type 1 starts(5, 5) ends(26, 7) is 0
Feature of type 2 starts(5, 5) ends(12, 21) is 0
Feature of type 3 starts(5, 5) ends(17, 16) is 0
Feature of type 0 starts(5, 5) ends(15, 19) is 0
Feature of type 1 starts(5, 5) ends(26, 8) is 0
Feature of type 2 starts(5, 5) ends(12, 22) is 0
Feature of type 3 starts(5, 5) ends(17, 17) is 0
Feature of type 0 starts(5, 5) ends(15, 19) is 0
Feature of type 1 starts(5, 5) ends(27, 7) is 0
Feature of type 2 starts(5, 5) ends(13, 21) is 0
Feature of type 3 starts(5, 5) ends(17, 17) is 0
Feature of type 0 starts(5, 5) ends(15, 20) is 0
Feature of type 1 starts(5, 5) ends(27, 8) is 0
Feature of type 2 starts(5, 5) ends(13, 22) is 0
Feature of type 3 starts(5, 5) ends(17, 18) is 0
Feature of type 0 starts(5, 5) ends(16, 19) is 0
Feature of type 1 starts(5, 5) ends(28, 7) is 0
Feature of type 2 starts(5, 5) ends(12, 23) is 0
Feature of type 3 starts(5, 5) ends(18, 17) is 0
Feature of type 0 starts(5, 5) ends(16, 20) is 0
Feature of type 1 starts(5, 5) ends(28, 8) is 0
Feature of type 2 starts(5, 5) ends(12, 24) is 0
Feature of type 3 starts(5, 5) ends(18, 18) is 0
Feature of type 0 starts(5, 5) ends(16, 20) is 0
Feature of type 1 starts(5, 5) ends(29, 7) is 0
Feature of type 2 starts(5, 5) ends(13, 23) is 0
Feature of type 3 starts(5, 5) ends(18, 18) is 0
Feature of type 0 starts(5, 5) ends(16, 21) is 0
Feature of type 1 starts(5, 5) ends(29, 8) is 0
Feature of type 2 starts(5, 5) ends(13, 24) is 0
Feature of type 3 starts(5, 5) ends(18, 19) is 0
Feature of type 0 starts(5, 5) ends(17, 20) is 0
Feature of type 1 starts(5, 5) ends(30, 7) is 0
Feature of type 2 starts(5, 5) ends(14, 23) is 0
Feature of type 3 starts(5, 5) ends(19, 18) is 0
Feature of type 0 starts(5, 5) ends(17, 21) is 0
Feature of type 1 starts(5, 5) ends(30, 8) is 0
Feature of type 2 starts(5, 5) ends(14, 24) is 0
Feature of type 3 starts(5, 5) ends(19, 19) is 0
Feature of type 0 starts(5, 5) ends(17, 21) is 0
Feature of type 1 starts(5, 5) ends(31, 7) is 0
Feature of type 2 starts(5, 5) ends(13, 25) is 0
Feature of type 3 starts(5, 5) ends(19, 19) is 0
Feature of type 0 starts(5, 5) ends(17, 22) is 0
Feature of type 1 starts(5, 5) ends(31, 8) is 0
Feature of type 2 starts(5, 5) ends(13, 26) is 0
Feature of type 3 starts(5, 5) ends(19, 20) is 0
Feature of type 0 starts(5, 5) ends(18, 21) is 0
Feature of type 1 starts(5, 5) ends(32, 7) is 0
Feature of type 2 starts(5, 5) ends(14, 25) is 0
Feature of type 3 starts(5, 5) ends(20, 19) is 0
Feature of type 0 starts(5, 5) ends(18, 22) is 0
Feature of type 1 starts(5, 5) ends(32, 8) is 0
Feature of type 2 starts(5, 5) ends(14, 26) is 0
Feature of type 3 starts(5, 5) ends(20, 20) is 0
Feature of type 0 starts(5, 6) ends(15, 19) is 0
Feature of type 1 starts(5, 6) ends(26, 8) is 0
Feature of type 2 starts(5, 6) ends(12, 22) is 0
Feature of type 3 starts(5, 6) ends(17, 17) is 0
Feature of type 0 starts(5, 6) ends(15, 20) is 0
Feature of type 1 starts(5, 6) ends(26, 9) is 0
Feature of type 2 starts(5, 6) ends(12, 23) is 0
Feature of type 3 starts(5, 6) ends(17, 18) is 0
Feature of type 0 starts(5, 6) ends(15, 20) is 0
Feature of type 1 starts(5, 6) ends(27, 8) is 0
Feature of type 2 starts(5, 6) ends(13, 22) is 0
Feature of type 3 starts(5, 6) ends(17, 18) is 0
Feature of type 0 starts(5, 6) ends(15, 21) is 0
Feature of type 1 starts(5, 6) ends(27, 9) is 0
Feature of type 2 starts(5, 6) ends(13, 23) is 0
Feature of type 3 starts(5, 6) ends(17, 19) is 0
Feature of type 0 starts(5, 6) ends(16, 20) is 0
Feature of type 1 starts(5, 6) ends(28, 8) is 0
Feature of type 2 starts(5, 6) ends(12, 24) is 0
Feature of type 3 starts(5, 6) ends(18, 18) is 0
Feature of type 0 starts(5, 6) ends(16, 21) is 0
Feature of type 1 starts(5, 6) ends(28, 9) is 0
Feature of type 2 starts(5, 6) ends(12, 25) is 0
Feature of type 3 starts(5, 6) ends(18, 19) is 0
Feature of type 0 starts(5, 6) ends(16, 21) is 0
Feature of type 1 starts(5, 6) ends(29, 8) is 0
Feature of type 2 starts(5, 6) ends(13, 24) is 0
Feature of type 3 starts(5, 6) ends(18, 19) is 0
Feature of type 0 starts(5, 6) ends(16, 22) is 0
Feature of type 1 starts(5, 6) ends(29, 9) is 0
Feature of type 2 starts(5, 6) ends(13, 25) is 0
Feature of type 3 starts(5, 6) ends(18, 20) is 0
Feature of type 0 starts(5, 6) ends(17, 21) is 0
Feature of type 1 starts(5, 6) ends(30, 8) is 0
Feature of type 2 starts(5, 6) ends(14, 24) is 0
Feature of type 3 starts(5, 6) ends(19, 19) is 0
Feature of type 0 starts(5, 6) ends(17, 22) is 0
Feature of type 1 starts(5, 6) ends(30, 9) is 0
Feature of type 2 starts(5, 6) ends(14, 25) is 0
Feature of type 3 starts(5, 6) ends(19, 20) is 0
Feature of type 0 starts(5, 6) ends(17, 22) is 0
Feature of type 1 starts(5, 6) ends(31, 8) is 0
Feature of type 2 starts(5, 6) ends(13, 26) is 0
Feature of type 3 starts(5, 6) ends(19, 20) is 0
Feature of type 0 starts(5, 6) ends(17, 23) is 0
Feature of type 1 starts(5, 6) ends(31, 9) is 0
Feature of type 2 starts(5, 6) ends(13, 27) is 0
Feature of type 3 starts(5, 6) ends(19, 21) is 0
Feature of type 0 starts(5, 6) ends(18, 22) is 0
Feature of type 1 starts(5, 6) ends(32, 8) is 0
Feature of type 2 starts(5, 6) ends(14, 26) is 0
Feature of type 3 starts(5, 6) ends(20, 20) is 0
Feature of type 0 starts(5, 6) ends(18, 23) is 0
Feature of type 1 starts(5, 6) ends(32, 9) is 0
Feature of type 2 starts(5, 6) ends(14, 27) is 0
Feature of type 3 starts(5, 6) ends(20, 21) is 0
Feature of type 0 starts(5, 7) ends(15, 20) is 0
Feature of type 1 starts(5, 7) ends(26, 9) is 0
Feature of type 2 starts(5, 7) ends(12, 23) is 0
Feature of type 3 starts(5, 7) ends(17, 18) is 0
Feature of type 0 starts(5, 7) ends(15, 21) is 0
Feature of type 1 starts(5, 7) ends(26, 10) is 0
Feature of type 2 starts(5, 7) ends(12, 24) is 0
Feature of type 3 starts(5, 7) ends(17, 19) is 0
Feature of type 0 starts(5, 7) ends(15, 21) is 0
Feature of type 1 starts(5, 7) ends(27, 9) is 0
Feature of type 2 starts(5, 7) ends(13, 23) is 0
Feature of type 3 starts(5, 7) ends(17, 19) is 0
Feature of type 0 starts(5, 7) ends(15, 22) is 0
Feature of type 1 starts(5, 7) ends(27, 10) is 0
Feature of type 2 starts(5, 7) ends(13, 24) is 0
Feature of type 3 starts(5, 7) ends(17, 20) is 0
Feature of type 0 starts(5, 7) ends(16, 21) is 0
Feature of type 1 starts(5, 7) ends(28, 9) is 0
Feature of type 2 starts(5, 7) ends(12, 25) is 0
Feature of type 3 starts(5, 7) ends(18, 19) is 0
Feature of type 0 starts(5, 7) ends(16, 22) is 0
Feature of type 1 starts(5, 7) ends(28, 10) is 0
Feature of type 2 starts(5, 7) ends(12, 26) is 0
Feature of type 3 starts(5, 7) ends(18, 20) is 0
Feature of type 0 starts(5, 7) ends(16, 22) is 0
Feature of type 1 starts(5, 7) ends(29, 9) is 0
Feature of type 2 starts(5, 7) ends(13, 25) is 0
Feature of type 3 starts(5, 7) ends(18, 20) is 0
Feature of type 0 starts(5, 7) ends(16, 23) is 0
Feature of type 1 starts(5, 7) ends(29, 10) is 0
Feature of type 2 starts(5, 7) ends(13, 26) is 0
Feature of type 3 starts(5, 7) ends(18, 21) is 0
Feature of type 0 starts(5, 7) ends(17, 22) is 0
Feature of type 1 starts(5, 7) ends(30, 9) is 0
Feature of type 2 starts(5, 7) ends(14, 25) is 0
Feature of type 3 starts(5, 7) ends(19, 20) is 0
Feature of type 0 starts(5, 7) ends(17, 23) is 0
Feature of type 1 starts(5, 7) ends(30, 10) is 0
Feature of type 2 starts(5, 7) ends(14, 26) is 0
Feature of type 3 starts(5, 7) ends(19, 21) is 0
Feature of type 0 starts(5, 7) ends(17, 23) is 0
Feature of type 1 starts(5, 7) ends(31, 9) is 0
Feature of type 2 starts(5, 7) ends(13, 27) is 0
Feature of type 3 starts(5, 7) ends(19, 21) is 0
Feature of type 0 starts(5, 7) ends(17, 24) is 0
Feature of type 1 starts(5, 7) ends(31, 10) is 0
Feature of type 2 starts(5, 7) ends(13, 28) is 0
Feature of type 3 starts(5, 7) ends(19, 22) is 0
Feature of type 0 starts(5, 7) ends(17, 23) is 0
Feature of type 1 starts(5, 7) ends(31, 9) is 0
Feature of type 2 starts(5, 7) ends(13, 27) is 0
Feature of type 3 starts(5, 7) ends(19, 21) is 0
Feature of type 0 starts(5, 7) ends(17, 24) is 0
Feature of type 1 starts(5, 7) ends(31, 10) is 0
Feature of type 2 starts(5, 7) ends(13, 28) is 0
Feature of type 3 starts(5, 7) ends(19, 22) is 0
Feature of type 0 starts(6, 3) ends(16, 16) is 0
Feature of type 1 starts(6, 3) ends(27, 5) is 0
Feature of type 2 starts(6, 3) ends(13, 19) is 0
Feature of type 3 starts(6, 3) ends(18, 14) is 0
Feature of type 0 starts(6, 3) ends(16, 17) is 0
Feature of type 1 starts(6, 3) ends(27, 6) is 0
Feature of type 2 starts(6, 3) ends(13, 20) is 0
Feature of type 3 starts(6, 3) ends(18, 15) is 0
Feature of type 0 starts(6, 3) ends(16, 17) is 0
Feature of type 1 starts(6, 3) ends(28, 5) is 0
Feature of type 2 starts(6, 3) ends(14, 19) is 0
Feature of type 3 starts(6, 3) ends(18, 15) is 0
Feature of type 0 starts(6, 3) ends(16, 18) is 0
Feature of type 1 starts(6, 3) ends(28, 6) is 0
Feature of type 2 starts(6, 3) ends(14, 20) is 0
Feature of type 3 starts(6, 3) ends(18, 16) is 0
Feature of type 0 starts(6, 3) ends(17, 17) is 0
Feature of type 1 starts(6, 3) ends(29, 5) is 0
Feature of type 2 starts(6, 3) ends(13, 21) is 0
Feature of type 3 starts(6, 3) ends(19, 15) is 0
Feature of type 0 starts(6, 3) ends(17, 18) is 0
Feature of type 1 starts(6, 3) ends(29, 6) is 0
Feature of type 2 starts(6, 3) ends(13, 22) is 0
Feature of type 3 starts(6, 3) ends(19, 16) is 0
Feature of type 0 starts(6, 3) ends(17, 18) is 0
Feature of type 1 starts(6, 3) ends(30, 5) is 0
Feature of type 2 starts(6, 3) ends(14, 21) is 0
Feature of type 3 starts(6, 3) ends(19, 16) is 0
Feature of type 0 starts(6, 3) ends(17, 19) is 0
Feature of type 1 starts(6, 3) ends(30, 6) is 0
Feature of type 2 starts(6, 3) ends(14, 22) is 0
Feature of type 3 starts(6, 3) ends(19, 17) is 0
Feature of type 0 starts(6, 3) ends(18, 18) is 0
Feature of type 1 starts(6, 3) ends(31, 5) is 0
Feature of type 2 starts(6, 3) ends(15, 21) is 0
Feature of type 3 starts(6, 3) ends(20, 16) is 0
Feature of type 0 starts(6, 3) ends(18, 19) is 0
Feature of type 1 starts(6, 3) ends(31, 6) is 0
Feature of type 2 starts(6, 3) ends(15, 22) is 0
Feature of type 3 starts(6, 3) ends(20, 17) is 0
Feature of type 0 starts(6, 3) ends(18, 19) is 0
Feature of type 1 starts(6, 3) ends(32, 5) is 0
Feature of type 2 starts(6, 3) ends(14, 23) is 0
Feature of type 3 starts(6, 3) ends(20, 17) is 0
Feature of type 0 starts(6, 3) ends(18, 20) is 0
Feature of type 1 starts(6, 3) ends(32, 6) is 0
Feature of type 2 starts(6, 3) ends(14, 24) is 0
Feature of type 3 starts(6, 3) ends(20, 18) is 0
Feature of type 0 starts(6, 3) ends(19, 19) is 0
Feature of type 1 starts(6, 3) ends(33, 5) is 0
Feature of type 2 starts(6, 3) ends(15, 23) is 0
Feature of type 3 starts(6, 3) ends(21, 17) is 0
Feature of type 0 starts(6, 3) ends(19, 20) is 0
Feature of type 1 starts(6, 3) ends(33, 6) is 0
Feature of type 2 starts(6, 3) ends(15, 24) is 0
Feature of type 3 starts(6, 3) ends(21, 18) is 0
Feature of type 0 starts(6, 4) ends(16, 17) is 0
Feature of type 1 starts(6, 4) ends(27, 6) is 0
Feature of type 2 starts(6, 4) ends(13, 20) is 0
Feature of type 3 starts(6, 4) ends(18, 15) is 0
Feature of type 0 starts(6, 4) ends(16, 18) is 0
Feature of type 1 starts(6, 4) ends(27, 7) is 0
Feature of type 2 starts(6, 4) ends(13, 21) is 0
Feature of type 3 starts(6, 4) ends(18, 16) is 0
Feature of type 0 starts(6, 4) ends(16, 18) is 0
Feature of type 1 starts(6, 4) ends(28, 6) is 0
Feature of type 2 starts(6, 4) ends(14, 20) is 0
Feature of type 3 starts(6, 4) ends(18, 16) is 0
Feature of type 0 starts(6, 4) ends(16, 19) is 0
Feature of type 1 starts(6, 4) ends(28, 7) is 0
Feature of type 2 starts(6, 4) ends(14, 21) is 0
Feature of type 3 starts(6, 4) ends(18, 17) is 0
Feature of type 0 starts(6, 4) ends(17, 18) is 0
Feature of type 1 starts(6, 4) ends(29, 6) is 0
Feature of type 2 starts(6, 4) ends(13, 22) is 0
Feature of type 3 starts(6, 4) ends(19, 16) is 0
Feature of type 0 starts(6, 4) ends(17, 19) is 0
Feature of type 1 starts(6, 4) ends(29, 7) is 0
Feature of type 2 starts(6, 4) ends(13, 23) is 0
Feature of type 3 starts(6, 4) ends(19, 17) is 0
Feature of type 0 starts(6, 4) ends(17, 19) is 0
Feature of type 1 starts(6, 4) ends(30, 6) is 0
Feature of type 2 starts(6, 4) ends(14, 22) is 0
Feature of type 3 starts(6, 4) ends(19, 17) is 0
Feature of type 0 starts(6, 4) ends(17, 20) is 0
Feature of type 1 starts(6, 4) ends(30, 7) is 0
Feature of type 2 starts(6, 4) ends(14, 23) is 0
Feature of type 3 starts(6, 4) ends(19, 18) is 0
Feature of type 0 starts(6, 4) ends(18, 19) is 0
Feature of type 1 starts(6, 4) ends(31, 6) is 0
Feature of type 2 starts(6, 4) ends(15, 22) is 0
Feature of type 3 starts(6, 4) ends(20, 17) is 0
Feature of type 0 starts(6, 4) ends(18, 20) is 0
Feature of type 1 starts(6, 4) ends(31, 7) is 0
Feature of type 2 starts(6, 4) ends(15, 23) is 0
Feature of type 3 starts(6, 4) ends(20, 18) is 0
Feature of type 0 starts(6, 4) ends(18, 20) is 0
Feature of type 1 starts(6, 4) ends(32, 6) is 0
Feature of type 2 starts(6, 4) ends(14, 24) is 0
Feature of type 3 starts(6, 4) ends(20, 18) is 0
Feature of type 0 starts(6, 4) ends(18, 21) is 0
Feature of type 1 starts(6, 4) ends(32, 7) is 0
Feature of type 2 starts(6, 4) ends(14, 25) is 0
Feature of type 3 starts(6, 4) ends(20, 19) is 0
Feature of type 0 starts(6, 4) ends(19, 20) is 0
Feature of type 1 starts(6, 4) ends(33, 6) is 0
Feature of type 2 starts(6, 4) ends(15, 24) is 0
Feature of type 3 starts(6, 4) ends(21, 18) is 0
Feature of type 0 starts(6, 4) ends(19, 21) is 0
Feature of type 1 starts(6, 4) ends(33, 7) is 0
Feature of type 2 starts(6, 4) ends(15, 25) is 0
Feature of type 3 starts(6, 4) ends(21, 19) is 0
Feature of type 0 starts(6, 5) ends(16, 18) is 0
Feature of type 1 starts(6, 5) ends(27, 7) is 0
Feature of type 2 starts(6, 5) ends(13, 21) is 0
Feature of type 3 starts(6, 5) ends(18, 16) is 0
Feature of type 0 starts(6, 5) ends(16, 19) is 0
Feature of type 1 starts(6, 5) ends(27, 8) is 0
Feature of type 2 starts(6, 5) ends(13, 22) is 0
Feature of type 3 starts(6, 5) ends(18, 17) is 0
Feature of type 0 starts(6, 5) ends(16, 19) is 0
Feature of type 1 starts(6, 5) ends(28, 7) is 0
Feature of type 2 starts(6, 5) ends(14, 21) is 0
Feature of type 3 starts(6, 5) ends(18, 17) is 0
Feature of type 0 starts(6, 5) ends(16, 20) is 0
Feature of type 1 starts(6, 5) ends(28, 8) is 0
Feature of type 2 starts(6, 5) ends(14, 22) is 0
Feature of type 3 starts(6, 5) ends(18, 18) is 0
Feature of type 0 starts(6, 5) ends(17, 19) is 0
Feature of type 1 starts(6, 5) ends(29, 7) is 0
