Index 0->Feature of type 0 starts(3, 5) ends(22, 9) is 0
Index 1->Feature of type 1 starts(3, 5) ends(22, 9) is 0
Index 2->Feature of type 2 starts(3, 5) ends(22, 9) is 0
Index 3->Feature of type 3 starts(3, 5) ends(22, 9) is 0
Index 4->Feature of type 0 starts(3, 5) ends(22, 10) is 0
Index 5->Feature of type 1 starts(3, 5) ends(22, 10) is 0
Index 6->Feature of type 2 starts(3, 5) ends(22, 10) is 0
Index 7->Feature of type 3 starts(3, 5) ends(22, 10) is 0
Index 8->Feature of type 0 starts(3, 5) ends(23, 9) is 0
Index 9->Feature of type 1 starts(3, 5) ends(23, 9) is 0
Index a->Feature of type 2 starts(3, 5) ends(23, 9) is 0
Index b->Feature of type 3 starts(3, 5) ends(23, 9) is 0
Index c->Feature of type 0 starts(3, 5) ends(23, 10) is 0
Index d->Feature of type 1 starts(3, 5) ends(23, 10) is 0
Index e->Feature of type 2 starts(3, 5) ends(23, 10) is 0
Index f->Feature of type 3 starts(3, 5) ends(23, 10) is 0
Index 10->Feature of type 0 starts(3, 5) ends(24, 9) is 0
Index 11->Feature of type 1 starts(3, 5) ends(24, 9) is 0
Index 12->Feature of type 2 starts(3, 5) ends(24, 9) is 0
Index 13->Feature of type 3 starts(3, 5) ends(24, 9) is 0
Index 14->Feature of type 0 starts(3, 5) ends(24, 10) is 0
Index 15->Feature of type 1 starts(3, 5) ends(24, 10) is 0
Index 16->Feature of type 2 starts(3, 5) ends(24, 10) is 0
Index 17->Feature of type 3 starts(3, 5) ends(24, 10) is 0
Index 18->Feature of type 0 starts(3, 5) ends(25, 9) is 0
Index 19->Feature of type 1 starts(3, 5) ends(25, 9) is 0
Index 1a->Feature of type 2 starts(3, 5) ends(25, 9) is 0
Index 1b->Feature of type 3 starts(3, 5) ends(25, 9) is 0
Index 1c->Feature of type 0 starts(3, 5) ends(25, 10) is 0
Index 1d->Feature of type 1 starts(3, 5) ends(25, 10) is 0
Index 1e->Feature of type 2 starts(3, 5) ends(25, 10) is 0
Index 1f->Feature of type 3 starts(3, 5) ends(25, 10) is 0
Index 20->Feature of type 0 starts(3, 5) ends(26, 9) is 0
Index 21->Feature of type 1 starts(3, 5) ends(26, 9) is 0
Index 22->Feature of type 2 starts(3, 5) ends(26, 9) is 0
Index 23->Feature of type 3 starts(3, 5) ends(26, 9) is 0
Index 24->Feature of type 0 starts(3, 5) ends(26, 10) is 0
Index 25->Feature of type 1 starts(3, 5) ends(26, 10) is 0
Index 26->Feature of type 2 starts(3, 5) ends(26, 10) is 0
Index 27->Feature of type 3 starts(3, 5) ends(26, 10) is 0
Index 28->Feature of type 0 starts(3, 5) ends(27, 9) is 0
Index 29->Feature of type 1 starts(3, 5) ends(27, 9) is 0
Index 2a->Feature of type 2 starts(3, 5) ends(27, 9) is 0
Index 2b->Feature of type 3 starts(3, 5) ends(27, 9) is 0
Index 2c->Feature of type 0 starts(3, 5) ends(27, 10) is 0
Index 2d->Feature of type 1 starts(3, 5) ends(27, 10) is 0
Index 2e->Feature of type 2 starts(3, 5) ends(27, 10) is 0
Index 2f->Feature of type 3 starts(3, 5) ends(27, 10) is 0
Index 30->Feature of type 0 starts(3, 5) ends(28, 9) is 0
Index 31->Feature of type 1 starts(3, 5) ends(28, 9) is 0
Index 32->Feature of type 2 starts(3, 5) ends(28, 9) is 0
Index 33->Feature of type 3 starts(3, 5) ends(28, 9) is 0
Index 34->Feature of type 0 starts(3, 5) ends(28, 10) is 0
Index 35->Feature of type 1 starts(3, 5) ends(28, 10) is 0
