68->[2, 48]
69->[2, 48]
70->[2, 48]
71->[2, 48]
80->[2, 48]
81->[3, 47]
82->[2, 48]
83->[2, 48]
92->[4, 46]
93->[4, 46]
94->[2, 48]
95->[4, 46]
153->[1, 49]
160->[2, 48]
162->[2, 48]
164->[6, 44]
165->[6, 44]
166->[6, 44]
167->[6, 44]
172->[2, 48]
174->[2, 48]
176->[6, 44]
177->[8, 42]
178->[6, 44]
179->[6, 44]
184->[4, 46]
186->[2, 48]
188->[9, 41]
189->[9, 41]
190->[6, 44]
191->[9, 41]
236->[1, 49]
237->[1, 49]
239->[1, 49]
248->[1, 49]
249->[2, 48]
251->[1, 49]
256->[4, 46]
258->[4, 46]
260->[5, 45]
261->[5, 45]
262->[5, 45]
263->[5, 45]
268->[4, 46]
270->[4, 46]
272->[5, 45]
273->[9, 41]
274->[5, 45]
275->[5, 45]
280->[5, 45]
282->[4, 46]
284->[14, 36]
285->[14, 36]
286->[5, 45]
287->[14, 36]
328->[1, 49]
332->[1, 49]
333->[1, 49]
335->[1, 49]
340->[1, 49]
344->[1, 49]
345->[1, 49]
347->[1, 49]
352->[1, 49]
354->[1, 49]
356->[4, 46]
357->[4, 46]
358->[4, 46]
359->[4, 46]
364->[1, 49]
366->[1, 49]
368->[4, 46]
369->[8, 42]
370->[4, 46]
371->[4, 46]
376->[8, 42]
378->[1, 49]
380->[23, 27]
381->[23, 27]
382->[4, 46]
383->[23, 27]
420->[1, 49]
421->[1, 49]
423->[1, 49]
424->[1, 49]
425->[1, 49]
427->[1, 49]
428->[1, 49]
429->[1, 49]
431->[1, 49]
432->[1, 49]
433->[1, 49]
435->[1, 49]
436->[1, 49]
437->[1, 49]
439->[1, 49]
440->[1, 49]
441->[1, 49]
443->[1, 49]
444->[1, 49]
445->[1, 49]
446->[1, 49]
447->[1, 49]
448->[4, 46]
449->[1, 49]
450->[4, 46]
451->[1, 49]
452->[4, 46]
453->[4, 46]
454->[4, 46]
455->[4, 46]
456->[1, 49]
457->[1, 49]
458->[1, 49]
459->[1, 49]
460->[4, 46]
461->[1, 49]
462->[4, 46]
463->[1, 49]
464->[4, 46]
465->[6, 44]
466->[4, 46]
467->[4, 46]
468->[1, 49]
469->[1, 49]
470->[1, 49]
471->[1, 49]
472->[7, 43]
473->[1, 49]
474->[4, 46]
475->[1, 49]
476->[9, 41]
477->[9, 41]
478->[4, 46]
479->[9, 41]
537->[1, 49]
548->[2, 48]
549->[2, 48]
550->[2, 48]
551->[2, 48]
560->[2, 48]
561->[3, 47]
562->[2, 48]
563->[2, 48]
568->[1, 49]
572->[4, 46]
573->[4, 46]
574->[2, 48]
575->[4, 46]
620->[1, 49]
621->[1, 49]
623->[1, 49]
632->[1, 49]
633->[5, 45]
635->[1, 49]
640->[2, 48]
642->[2, 48]
644->[7, 43]
645->[7, 43]
646->[7, 43]
647->[7, 43]
652->[2, 48]
654->[2, 48]
656->[7, 43]
657->[8, 42]
658->[7, 43]
659->[7, 43]
664->[3, 47]
666->[2, 48]
668->[8, 42]
669->[8, 42]
670->[7, 43]
671->[8, 42]
705->[1, 49]
706->[1, 49]
712->[1, 49]
716->[2, 48]
717->[2, 48]
718->[1, 49]
719->[2, 48]
724->[1, 49]
728->[2, 48]
729->[5, 45]
730->[1, 49]
731->[2, 48]
736->[5, 45]
738->[5, 45]
740->[9, 41]
741->[9, 41]
742->[9, 41]
743->[9, 41]
748->[5, 45]
750->[5, 45]
752->[9, 41]
753->[13, 37]
754->[9, 41]
755->[9, 41]
760->[5, 45]
762->[5, 45]
764->[14, 36]
765->[14, 36]
766->[9, 41]
767->[14, 36]
798->[1, 49]
801->[1, 49]
802->[1, 49]
808->[1, 49]
810->[1, 49]
812->[1, 49]
813->[1, 49]
814->[1, 49]
815->[1, 49]
820->[1, 49]
822->[1, 49]
824->[1, 49]
825->[4, 46]
826->[1, 49]
827->[1, 49]
832->[4, 46]
834->[4, 46]
836->[8, 42]
837->[8, 42]
838->[8, 42]
839->[8, 42]
844->[4, 46]
846->[4, 46]
848->[8, 42]
849->[20, 30]
850->[8, 42]
851->[8, 42]
856->[9, 41]
858->[4, 46]
860->[32, 18]
861->[32, 18]
862->[8, 42]
863->[32, 18]
889->[1, 49]
890->[1, 49]
893->[1, 49]
894->[1, 49]
897->[1, 49]
898->[1, 49]
900->[1, 49]
901->[1, 49]
902->[1, 49]
903->[1, 49]
904->[1, 49]
905->[1, 49]
906->[1, 49]
907->[1, 49]
908->[1, 49]
909->[1, 49]
910->[1, 49]
911->[1, 49]
912->[1, 49]
913->[1, 49]
914->[1, 49]
915->[1, 49]
916->[1, 49]
917->[1, 49]
918->[1, 49]
919->[1, 49]
920->[1, 49]
921->[4, 46]
922->[1, 49]
923->[1, 49]
924->[1, 49]
925->[1, 49]
926->[1, 49]
927->[1, 49]
928->[5, 45]
929->[1, 49]
930->[5, 45]
931->[1, 49]
932->[6, 44]
933->[6, 44]
934->[6, 44]
935->[6, 44]
936->[1, 49]
937->[1, 49]
938->[1, 49]
939->[1, 49]
940->[5, 45]
941->[1, 49]
942->[5, 45]
943->[1, 49]
944->[6, 44]
945->[9, 41]
946->[6, 44]
947->[6, 44]
948->[1, 49]
949->[1, 49]
950->[1, 49]
951->[1, 49]
952->[8, 42]
953->[1, 49]
954->[5, 45]
955->[1, 49]
956->[12, 38]
957->[12, 38]
958->[6, 44]
959->[12, 38]
1004->[1, 49]
1005->[1, 49]
1007->[1, 49]
1016->[1, 49]
1017->[2, 48]
1019->[1, 49]
1028->[3, 47]
1029->[3, 47]
1030->[3, 47]
1031->[3, 47]
1040->[3, 47]
1041->[4, 46]
1042->[3, 47]
1043->[3, 47]
1048->[1, 49]
1052->[4, 46]
1053->[4, 46]
1054->[3, 47]
1055->[4, 46]
1096->[1, 49]
1100->[3, 47]
1101->[3, 47]
1103->[3, 47]
1108->[1, 49]
1112->[3, 47]
1113->[5, 45]
1115->[3, 47]
1120->[3, 47]
1122->[3, 47]
1124->[6, 44]
1125->[6, 44]
1126->[6, 44]
1127->[6, 44]
1132->[3, 47]
1134->[3, 47]
1136->[6, 44]
1137->[6, 44]
1138->[6, 44]
1139->[6, 44]
1144->[3, 47]
1146->[3, 47]
1148->[6, 44]
1149->[6, 44]
1150->[6, 44]
1151->[6, 44]
1172->[1, 49]
1173->[1, 49]
1175->[1, 49]
1184->[1, 49]
1185->[1, 49]
1186->[1, 49]
1187->[1, 49]
1192->[2, 48]
1196->[3, 47]
1197->[3, 47]
1198->[1, 49]
1199->[3, 47]
1204->[2, 48]
1208->[3, 47]
1209->[7, 43]
1210->[1, 49]
1211->[3, 47]
1216->[3, 47]
1218->[3, 47]
1220->[11, 39]
1221->[11, 39]
1222->[11, 39]
1223->[11, 39]
1228->[3, 47]
1230->[3, 47]
1232->[11, 39]
1233->[12, 38]
1234->[11, 39]
1235->[11, 39]
1240->[3, 47]
1242->[3, 47]
1244->[12, 38]
1245->[12, 38]
1246->[11, 39]
1247->[12, 38]
1264->[1, 49]
1268->[1, 49]
1269->[1, 49]
1271->[1, 49]
1276->[1, 49]
1278->[1, 49]
1280->[1, 49]
1281->[1, 49]
1282->[1, 49]
1283->[1, 49]
1288->[1, 49]
1290->[1, 49]
1292->[4, 46]
1293->[4, 46]
1294->[1, 49]
1295->[4, 46]
1300->[1, 49]
1302->[1, 49]
1304->[4, 46]
1305->[8, 42]
1306->[1, 49]
1307->[4, 46]
1312->[8, 42]
1314->[8, 42]
1316->[15, 35]
1317->[15, 35]
1318->[15, 35]
1319->[15, 35]
1324->[8, 42]
1326->[8, 42]
1328->[15, 35]
1329->[19, 31]
1330->[15, 35]
1331->[15, 35]
1336->[9, 41]
1338->[8, 42]
1340->[19, 31]
1341->[19, 31]
1342->[15, 35]
1343->[19, 31]
1356->[1, 49]
1357->[1, 49]
1359->[1, 49]
1360->[1, 49]
1361->[1, 49]
1363->[1, 49]
1364->[1, 49]
1365->[1, 49]
1367->[1, 49]
1368->[1, 49]
1369->[1, 49]
1370->[1, 49]
1371->[1, 49]
1372->[1, 49]
1373->[1, 49]
1374->[1, 49]
1375->[1, 49]
1376->[1, 49]
1377->[1, 49]
1378->[1, 49]
1379->[1, 49]
1380->[1, 49]
1381->[1, 49]
1382->[1, 49]
1383->[1, 49]
1384->[4, 46]
1385->[1, 49]
1386->[1, 49]
1387->[1, 49]
1388->[4, 46]
1389->[4, 46]
1390->[1, 49]
1391->[4, 46]
1392->[1, 49]
1393->[1, 49]
1394->[1, 49]
1395->[1, 49]
1396->[4, 46]
1397->[1, 49]
1398->[1, 49]
1399->[1, 49]
1400->[4, 46]
1401->[5, 45]
1402->[1, 49]
1403->[4, 46]
1404->[1, 49]
1405->[1, 49]
1406->[1, 49]
1407->[1, 49]
1408->[7, 43]
1409->[1, 49]
1410->[7, 43]
1411->[1, 49]
1412->[7, 43]
1413->[7, 43]
1414->[7, 43]
1415->[7, 43]
1416->[1, 49]
1417->[1, 49]
1418->[1, 49]
1419->[1, 49]
1420->[7, 43]
1421->[1, 49]
1422->[7, 43]
1423->[1, 49]
1424->[7, 43]
1425->[10, 40]
1426->[7, 43]
1427->[7, 43]
1428->[1, 49]
1429->[1, 49]
1430->[1, 49]
1431->[1, 49]
1432->[8, 42]
1433->[1, 49]
1434->[7, 43]
1435->[1, 49]
1436->[10, 40]
1437->[10, 40]
1438->[7, 43]
1439->[10, 40]
1484->[1, 49]
1485->[1, 49]
1487->[1, 49]
1496->[1, 49]
1497->[2, 48]
1499->[1, 49]
1504->[1, 49]
1506->[1, 49]
1508->[3, 47]
1509->[3, 47]
1510->[3, 47]
1511->[3, 47]
1516->[1, 49]
1518->[1, 49]
1520->[3, 47]
1521->[3, 47]
1522->[3, 47]
1523->[3, 47]
1528->[1, 49]
1532->[3, 47]
1533->[3, 47]
1534->[2, 48]
1535->[3, 47]
1576->[1, 49]
1580->[2, 48]
1581->[2, 48]
1583->[2, 48]
1588->[1, 49]
1592->[2, 48]
1593->[3, 47]
1595->[2, 48]
1600->[2, 48]
1602->[2, 48]
1604->[3, 47]
1605->[3, 47]
1606->[3, 47]
1607->[3, 47]
1612->[2, 48]
1614->[2, 48]
1616->[3, 47]
1617->[3, 47]
1618->[3, 47]
1619->[3, 47]
1624->[2, 48]
1626->[2, 48]
1628->[3, 47]
1629->[3, 47]
1630->[3, 47]
1631->[3, 47]
1641->[1, 49]
1652->[1, 49]
1653->[1, 49]
1655->[1, 49]
1664->[1, 49]
1665->[1, 49]
1666->[1, 49]
1667->[1, 49]
1672->[1, 49]
1676->[3, 47]
1677->[3, 47]
1678->[1, 49]
1679->[3, 47]
1684->[1, 49]
1688->[3, 47]
1689->[7, 43]
1690->[1, 49]
1691->[3, 47]
1696->[1, 49]
1698->[1, 49]
1700->[8, 42]
1701->[8, 42]
1702->[8, 42]
1703->[8, 42]
1708->[1, 49]
1710->[1, 49]
1712->[8, 42]
1713->[8, 42]
1714->[8, 42]
1715->[8, 42]
1720->[1, 49]
1722->[1, 49]
1724->[8, 42]
1725->[8, 42]
1726->[7, 43]
1727->[8, 42]
1737->[1, 49]
1744->[1, 49]
1748->[1, 49]
1749->[1, 49]
1751->[1, 49]
1756->[1, 49]
1758->[1, 49]
1760->[1, 49]
1761->[1, 49]
1762->[1, 49]
1763->[1, 49]
1768->[2, 48]
1770->[1, 49]
1772->[2, 48]
1773->[2, 48]
1774->[1, 49]
1775->[2, 48]
1780->[2, 48]
1782->[1, 49]
1784->[2, 48]
1785->[7, 43]
1786->[1, 49]
1787->[2, 48]
1792->[7, 43]
1794->[7, 43]
1796->[9, 41]
1797->[9, 41]
1798->[9, 41]
1799->[9, 41]
1804->[7, 43]
1806->[7, 43]
1808->[9, 41]
1809->[9, 41]
1810->[9, 41]
1811->[9, 41]
1816->[7, 43]
1818->[6, 44]
1820->[9, 41]
1821->[9, 41]
1822->[7, 43]
1823->[9, 41]
1825->[1, 49]
1829->[1, 49]
1833->[1, 49]
1836->[1, 49]
1837->[1, 49]
1839->[1, 49]
1840->[1, 49]
1841->[1, 49]
1843->[1, 49]
1844->[1, 49]
1845->[1, 49]
1847->[1, 49]
1848->[1, 49]
1849->[1, 49]
1850->[1, 49]
1851->[1, 49]
1852->[1, 49]
1853->[1, 49]
1854->[1, 49]
1855->[1, 49]
1856->[1, 49]
1857->[1, 49]
1858->[1, 49]
1859->[1, 49]
1860->[1, 49]
1861->[1, 49]
1862->[1, 49]
1863->[1, 49]
1864->[1, 49]
1865->[1, 49]
1866->[1, 49]
1867->[1, 49]
1868->[1, 49]
1869->[1, 49]
1870->[1, 49]
1871->[1, 49]
1872->[1, 49]
1873->[1, 49]
1874->[1, 49]
1875->[1, 49]
1876->[1, 49]
1877->[1, 49]
1878->[1, 49]
1879->[1, 49]
1880->[1, 49]
1881->[2, 48]
1882->[1, 49]
1883->[1, 49]
1884->[1, 49]
1885->[1, 49]
1886->[1, 49]
1887->[1, 49]
1888->[3, 47]
1889->[1, 49]
1890->[3, 47]
1891->[1, 49]
1892->[3, 47]
1893->[3, 47]
1894->[3, 47]
1895->[3, 47]
1896->[1, 49]
1897->[1, 49]
1898->[1, 49]
1899->[1, 49]
1900->[3, 47]
1901->[1, 49]
1902->[3, 47]
1903->[1, 49]
1904->[3, 47]
1905->[3, 47]
1906->[3, 47]
1907->[3, 47]
1908->[1, 49]
1909->[1, 49]
1910->[1, 49]
1911->[1, 49]
1912->[3, 47]
1913->[1, 49]
1914->[2, 48]
1915->[1, 49]
1916->[3, 47]
1917->[3, 47]
1918->[2, 48]
1919->[3, 47]
1977->[1, 49]
1984->[1, 49]
1986->[1, 49]
1988->[1, 49]
1989->[1, 49]
1990->[1, 49]
1991->[1, 49]
1996->[1, 49]
1998->[1, 49]
2000->[1, 49]
2001->[1, 49]
2002->[1, 49]
2003->[1, 49]
2008->[1, 49]
2012->[1, 49]
2013->[1, 49]
2015->[1, 49]
2169->[1, 49]
2180->[1, 49]
2181->[1, 49]
2182->[1, 49]
2183->[1, 49]
2192->[1, 49]
2193->[1, 49]
2194->[1, 49]
2195->[1, 49]
2204->[1, 49]
2205->[1, 49]
2207->[1, 49]
2265->[2, 48]
2272->[1, 49]
