[186, 0]
[270, 0]
[282, 0]
[442, 0]
[641, 0]
[665, 0]
[725, 0]
[809, 0]
[945, 0]
[957, 0]
[354, 1.303194928449995e-11]
[366, 1.3036445249762114e-11]
[378, 1.3040944318264028e-11]
[438, 1.3045446493221834e-11]
[454, 1.3049951777852993e-11]
[466, 1.3054460175382125e-11]
[478, 1.305897168903565e-11]
[526, 1.3063486322044834e-11]
[538, 1.3068004077647461e-11]
[550, 1.307252495908299e-11]
[562, 1.3077048969597087e-11]
[574, 1.3081576112438787e-11]
[726, 1.3086106390864796e-11]
[821, 1.3641765849795146e-11]
[1385, 1.3646492386097083e-11]
[653, 1.4238306196244534e-11]
[749, 1.4243241733929086e-11]
[761, 1.4248180694481528e-11]
[814, 1.4253123081466738e-11]
[833, 1.4258068898449344e-11]
[845, 1.4263018149002323e-11]
[857, 1.4267970836704562e-11]
[669, 1.8756045746314718e-11]
[633, 5.254467694389453e-11]
[810, 5.2562761140351846e-11]
[905, 5.258085778905299e-11]
[737, 5.4813428130173986e-11]
[909, 5.4832304457174535e-11]
[917, 5.4846570729181295e-11]
[929, 5.486546989383544e-11]
[941, 5.488438208756974e-11]
[953, 5.490330732387139e-11]
[921, 5.7284234341099373e-11]
[933, 5.730084112605585e-11]
[1397, 5.732061001896666e-11]
[1409, 5.7340392557149905e-11]
[1421, 5.736018875472918e-11]
[1433, 5.737999862584966e-11]
[1229, 6.261543186684397e-11]
[1313, 6.263705071639587e-11]
[1325, 6.265868449946297e-11]
[1337, 6.268033323152875e-11]
[753, 7.197937359437002e-11]
[765, 7.2004219430494e-11]
[717, 1.190687697059255e-10]
[1205, 1.191096115420252e-10]
[70, 1.241668274465106e-10]
[642, 1.2420941915865173e-10]
[654, 1.2959563957120473e-10]
[94, 1.3533791910853635e-10]
[1217, 1.353843253399296e-10]
[1301, 1.3543076340665253e-10]
[1241, 1.4156538243578624e-10]
[849, 1.4812412225961822e-10]
[861, 1.4817490456301273e-10]
[741, 1.552001503448585e-10]
[657, 1.6273442819898451e-10]
[154, 2.1262429789584935e-10]
[238, 2.1269678480478778e-10]
[534, 2.1276932115407107e-10]
[546, 2.1284190699425312e-10]
[558, 2.1291454237601743e-10]
[570, 2.1298722735009694e-10]
[1289, 2.1305996196729602e-10]
[1481, 2.1313274627849394e-10]
[1493, 2.1320558033464493e-10]
[1505, 2.1327846418675182e-10]
[1517, 2.1335139788588207e-10]
[1529, 2.134243814832179e-10]
[166, 2.224858719608132e-10]
[250, 2.2256196485829716e-10]
[738, 2.2263810982259574e-10]
[822, 2.2271430690716463e-10]
[1386, 2.227905561655616e-10]
[82, 2.3245151775142806e-10]
[178, 2.3253108150954816e-10]
[762, 2.3261069975221254e-10]
