[68, 0.0001929624628349457]
[69, 0.00010558323438138548]
[70, 1.0922403556695046e-05]
[71, 6.189362015460524e-05]
[80, 0.00011402679457769578]
[81, 0.00010039315609557994]
[82, 1.4873060162308146e-05]
[83, 6.321050568980963e-05]
[92, 0.00012916929423569798]
[93, 0.00010257561601070128]
[94, 1.13972906678557e-05]
[95, 8.168058311963253e-05]
[152, 0.00015335946218379988]
[153, 0.00010342847449605104]
[154, 1.4265996482213939e-05]
[155, 0.00014979296306324638]
[164, 0.0001274280414947756]
[165, 0.00010194243319582046]
[166, 1.4563204742260061e-05]
[167, 4.7330415412345184e-05]
[176, 0.00018467383034865949]
[177, 0.00010411142113615697]
[178, 1.4873060162308146e-05]
[179, 2.9746120324616295e-05]
[184, 0.0001426599648221394]
[185, 6.776348329051623e-05]
[186, 0]
[187, 0.00010699497361660452]
[188, 0.00014056658490355366]
[189, 0.00011777200356784221]
[190, 1.5196387557140934e-05]
[191, 0.00013106884268034057]
[236, 0.00016049246042490687]
[237, 0.00010342847449605104]
[238, 1.4265996482213939e-05]
[239, 0.00015692596130435337]
[248, 0.00020388486639164087]
[249, 0.00010558323438138548]
[250, 1.4563204742260061e-05]
[251, 7.28160237113003e-05]
[260, 0.00015616713170423554]
[261, 0.00011154795121731104]
[262, 1.859132520288518e-05]
[263, 0.00012146332465884977]
[268, 0.00012482746921937192]
[269, 6.419698416996275e-05]
[270, 0]
[271, 7.489648153162319e-05]
[272, 0.00020895032891068784]
[273, 0.00011777200356784221]
[274, 1.8995484446426168e-05]
[275, 0.00015956206934997994]
[280, 0.00017475845690712084]
[281, 6.419698416996275e-05]
[282, 0]
[283, 0.00017475845690712084]
[284, 0.0001519638755714094]
[285, 0.00011777200356784221]
[286, 4.179006578213756e-05]
[287, 0.00017285890846247828]
[332, 0.00016405895954546036]
[333, 0.00010699497361660452]
[334, 2.139899472332091e-05]
[335, 0.00016049246042490687]
[344, 0.00015655445097929565]
[345, 0.00011286483675251552]
[346, 1.8204005927825075e-05]
[347, 0.00021844807113390074]
[352, 0.00017119195778656735]
[353, 6.776348329051623e-05]
[354, 1.268047998660765e-11]
[355, 0.00016762545866601386]
[356, 0.0001524488666636585]
[357, 0.00012270274633904214]
[358, 0.00014377291490231208]
[359, 0.00017104019186654372]
[364, 0.00016049246042490687]
[365, 6.776348329051623e-05]
[366, 1.2684854696505817e-11]
[367, 0.00016049246042490687]
[368, 0.00015616713170423554]
[369, 0.0001189844812984651]
[370, 0.00014005464986173503]
[371, 0.00015988539674481259]
[376, 0.00016049246042490687]
[377, 6.776348329051623e-05]
[378, 1.2689232425949929e-11]
[379, 0.00016049246042490687]
[380, 0.00015616713170423554]
[381, 0.0001189844812984651]
[382, 0.00014005464986173503]
[383, 0.00015988539674481259]
[436, 0.00015335946218379988]
[437, 7.846298065217667e-05]
[438, 1.2693613178069373e-11]
[439, 0.00015335946218379988]
[440, 0.00015692596130435337]
[441, 0.00012482746921937192]
[442, 0]
[443, 0.00016405895954546036]
[448, 0.00017119195778656735]
[449, 7.489648153162319e-05]
[450, 4.99309876877488e-05]
[451, 0.00017475845690712084]
[452, 0.00017475845690712084]
[453, 0.00012482746921937192]
[454, 1.2697996955994858e-11]
[455, 0.00016405895954546036]
[460, 0.00017119195778656735]
[461, 7.489648153162319e-05]
[462, 4.99309876877488e-05]
[463, 0.00017475845690712084]
[464, 0.00017475845690712084]
[465, 0.00012482746921937192]
[466, 1.270238376286402e-11]
[467, 0.00016405895954546036]
[472, 0.00017119195778656735]
[473, 7.489648153162319e-05]
[474, 4.99309876877488e-05]
[475, 0.00017475845690712084]
[476, 0.00017475845690712084]
[477, 0.00012482746921937192]
[478, 1.270677360181627e-11]
[479, 0.00016405895954546036]
[520, 0.00017475845690712084]
[521, 7.489648153162319e-05]
[522, 1.7832495602767424e-05]
[523, 0.00017475845690712084]
[524, 0.00017475845690712084]
[525, 0.00012126097009881844]
[526, 1.2711166475995731e-11]
[527, 0.00016762545866601386]
[532, 0.00017475845690712084]
[533, 7.489648153162319e-05]
[534, 1.4265996482213939e-05]
[535, 0.00017119195778656735]
[536, 0.00017475845690712084]
[537, 0.00012126097009881844]
[538, 1.2715562388552843e-11]
[539, 0.00016405895954546036]
[544, 0.00017475845690712084]
[545, 7.489648153162319e-05]
[546, 1.4265996482213939e-05]
[547, 0.00017119195778656735]
[548, 0.00017475845690712084]
[549, 0.00012126097009881844]
[550, 3.5664991205534846e-06]
[551, 0.00016405895954546036]
[556, 0.00017475845690712084]
[557, 7.489648153162319e-05]
[558, 1.4265996482213939e-05]
[559, 0.00017119195778656735]
[560, 0.00017475845690712084]
[561, 0.00012126097009881844]
[562, 3.5664991205534846e-06]
[563, 0.00016405895954546036]
[568, 0.00017475845690712084]
[569, 7.489648153162319e-05]
[570, 1.4265996482213939e-05]
[571, 0.00017119195778656735]
[572, 0.00017475845690712084]
[573, 0.00012126097009881844]
[574, 3.5664991205534846e-06]
[575, 0.00016405895954546036]
[632, 0.0001426599648221394]
[633, 7.132998241106969e-06]
[634, 3.209849208498136e-05]
[635, 0.00017119195778656735]
[640, 0.00018568086046381565]
[641, 0]
[642, 1.0922403556695046e-05]
[643, 9.830163201025544e-05]
[644, 0.0002118284326146917]
[645, 1.5887132446101882e-05]
[646, 1.985891555762735e-05]
[647, 0.0001707866737955952]
[652, 0.00012518158969942686]
[653, 3.7182650405770364e-06]
[654, 1.115479512173111e-05]
[655, 0.00011154795121731104]
[656, 0.00016435616780550638]
[657, 1.2482746921937196e-05]
[658, 2.4965493843874396e-05]
[659, 0.00017475845690712068]
[664, 0.00010447516445534392]
[665, 0]
[666, 1.5196387557140934e-05]
[667, 0.0001500643271267668]
[668, 0.00020601606708563026]
[669, 4.262401387978554e-06]
[670, 3.4099211103828435e-05]
[671, 0.00016197125274318517]
[716, 0.00016405895954546036]
[717, 1.0699497361660454e-05]
[718, 2.8531992964427877e-05]
[719, 0.00016762545866601386]
[724, 0.00017475845690712084]
[725, 0]
[726, 3.5664991205534846e-06]
[727, 0.0001426599648221394]
[728, 0.00019805958449473679]
[729, 1.9417606323013417e-05]
[730, 3.4951691381424155e-05]
[731, 0.00023301127587616082]
[736, 0.0001310688426803406]
[737, 7.281602371130031e-06]
[738, 1.4563204742260061e-05]
[739, 0.00025121528180398585]
[740, 0.0002049492866718061]
[741, 1.2192450481892143e-05]
[742, 4.935039480765867e-05]
[743, 0.000187531500269103]
[748, 0.00013385754146077327]
[749, 3.7182650405770364e-06]
[750, 1.859132520288518e-05]
[751, 0.0001660825051457743]
[752, 0.00020388486639164085]
[753, 8.321831281291465e-06]
[754, 5.513213223855596e-05]
[755, 0.0001622757099851835]
[760, 0.00016732192682596667]
[761, 3.7182650405770364e-06]
[762, 1.4873060162308146e-05]
[763, 0.00019582862547039065]
[764, 0.0002340515047863224]
[765, 8.321831281291465e-06]
[766, 4.577007204710305e-05]
[767, 0.00015811479434453776]
[808, 0.0001426599648221394]
[809, 0]
[810, 7.132998241106969e-06]
[811, 0.00016049246042490687]
[812, 0.0001450123365825044]
[813, 2.9746120324616295e-05]
[814, 3.7182650405770364e-06]
[815, 0.0002181382157138529]
[820, 0.0001274280414947756]
[821, 3.6408011855650153e-06]
[822, 1.4563204742260061e-05]
[823, 0.0002439336794328558]
[824, 0.00016699141437791532]
[825, 2.33011275876161e-05]
[826, 1.5534085058410735e-05]
[827, 0.00019417606323013405]
[832, 0.0002144199506732758]
[833, 3.7182650405770364e-06]
[834, 2.9746120324616295e-05]
[835, 0.0001921103604298136]
[836, 0.00018799773394553892]
[837, 1.5887132446101882e-05]
[838, 3.706997570757106e-05]
[839, 0.0001588713244610188]
[844, 0.0001921103604298136]
[845, 3.7182650405770364e-06]
[846, 2.230959024346222e-05]
[847, 0.00019582862547039065]
[848, 0.00018799773394553892]
[849, 1.1915349334576412e-05]
[850, 4.5013541930622005e-05]
[851, 0.0001588713244610188]
[856, 0.0002094622639525064]
[857, 3.7182650405770364e-06]
[858, 2.230959024346222e-05]
[859, 0.00016360366178538963]
[860, 0.0001681388183879116]
[861, 1.1915349334576412e-05]
[862, 5.295710815367294e-05]
[863, 0.0001588713244610188]
[904, 0.00017119195778656735]
[905, 7.132998241106969e-06]
[906, 1.7832495602767424e-05]
[907, 0.00016762545866601386]
[908, 0.00016019525216486065]
[909, 7.281602371130031e-06]
[910, 3.276721067008513e-05]
[911, 0.00014927284860816563]
[916, 0.00024029287824729102]
[917, 7.281602371130031e-06]
[918, 2.5485608298955102e-05]
[919, 0.00014927284860816563]
[920, 0.00015616713170423554]
[921, 7.436530081154073e-06]
[922, 4.833744552750148e-05]
[923, 0.00021070168563269885]
[928, 0.00014199124623703562]
[929, 7.281602371130031e-06]
[930, 0.00010558323438138548]
[931, 0.00016019525216486065]
[932, 0.0001524488666636585]
[933, 7.436530081154073e-06]
[934, 0.0001586459750646202]
[935, 0.00015988539674481259]
[940, 0.00016747685453599067]
[941, 7.281602371130031e-06]
[942, 9.466083082469042e-05]
[943, 0.00016383605335042566]
[944, 0.0002144199506732758]
[945, 0]
[946, 0.00016980077018635128]
[947, 0.00015616713170423554]
[952, 0.00016747685453599067]
[953, 7.281602371130031e-06]
[954, 9.466083082469042e-05]
[955, 0.00016383605335042566]
[956, 0.0002144199506732758]
[957, 0]
[958, 0.00016980077018635128]
[959, 0.00015616713170423554]
[1196, 0.00016405895954546036]
[1197, 0.00015335946218379988]
[1198, 6.063048504940926e-05]
[1199, 0.00012839396833992542]
[1204, 0.00017119195778656735]
[1205, 1.0699497361660454e-05]
[1206, 2.4965493843874393e-05]
[1207, 0.00016049246042490687]
[1208, 0.00016019525216486065]
[1209, 0.00015655445097929567]
[1210, 6.917522252573528e-05]
[1211, 0.00010194243319582046]
[1216, 0.00012537019734641268]
[1217, 1.13972906678557e-05]
[1218, 2.6593678224996632e-05]
[1219, 0.00021084987735533073]
[1220, 0.00016310789311331264]
[1221, 0.00010485507414427245]
[1222, 5.825281896904023e-05]
[1223, 0.00017475845690712063]
[1228, 0.00015534085058410729]
[1229, 7.767042529205367e-06]
[1230, 2.33011275876161e-05]
[1231, 0.00023301127587616082]
[1232, 0.00016765445459382327]
[1233, 0.00017381125659868106]
[1234, 8.335362714269173e-05]
[1235, 0.00010987523577900273]
[1240, 0.00016310789311331264]
[1241, 1.1650563793808052e-05]
[1242, 3.883521264602684e-05]
[1243, 0.0001980595844947367]
[1244, 0.00016227570998518347]
[1245, 0.00017961285848787405]
[1246, 6.172024866957834e-05]
[1247, 8.183134093269936e-05]
[1280, 0.0001355269665810324]
[1281, 0.00015335946218379988]
[1282, 3.566499120553485e-05]
[1283, 0.00012482746921937192]
[1288, 0.0001319604674604789]
[1289, 1.4265996482213939e-05]
[1290, 2.8531992964427877e-05]
[1291, 0.00016405895954546036]
[1292, 0.0002402928782472909]
[1293, 0.00016383605335042572]
[1294, 4.004881304121516e-05]
[1295, 0.00010194243319582046]
[1300, 0.00011017380978927175]
[1301, 1.13972906678557e-05]
[1302, 3.0392775114281865e-05]
[1303, 0.00021084987735533073]
[1304, 0.00020971014828854485]
[1305, 0.00012038915920268317]
[1306, 5.825281896904023e-05]
[1307, 0.0001398067655256965]
[1312, 0.00016310789311331264]
[1313, 7.767042529205367e-06]
[1314, 2.33011275876161e-05]
[1315, 0.0002601959247283797]
[1316, 0.00017996805860353904]
[1317, 0.00016481285366850412]
[1318, 8.335362714269173e-05]
[1319, 9.898243223194642e-05]
[1324, 0.00016310789311331264]
[1325, 7.767042529205367e-06]
[1326, 2.7184648852218783e-05]
[1327, 0.00023301127587616082]
[1328, 0.00015768226673116504]
[1329, 0.0001711252249547897]
[1330, 6.539817514195788e-05]
[1331, 0.00010427375703189947]
[1336, 0.0001786419781717234]
[1337, 7.767042529205367e-06]
[1338, 5.436929770443755e-05]
[1339, 0.0001980595844947367]
[1340, 0.00017406497096701307]
[1341, 0.00015187342088356922]
[1342, 7.142905183108505e-05]
[1343, 0.00010679683477657374]
[1364, 0.00017119195778656735]
[1365, 0.00015692596130435337]
[1366, 4.2797989446641824e-05]
[1367, 0.0001355269665810324]
[1376, 0.00015692596130435337]
[1377, 0.00016049246042490687]
[1378, 4.2797989446641824e-05]
[1379, 0.0001319604674604789]
[1384, 0.0001274280414947756]
[1385, 3.6408011855650153e-06]
[1386, 1.4563204742260061e-05]
[1387, 0.0002439336794328558]
[1388, 0.00012270274633904214]
[1389, 0.00014005464986173503]
