[1, [6, 11, 29, 16]]
[2, [6, 11, 25, 14]]
[3, [6, 11, 25, 14]]
[4, [6, 7, 26, 11]]
[5, [6, 11, 29, 16]]
[6, [7, 9, 25, 14]]
[7, [6, 11, 29, 16]]
[8, [6, 11, 29, 16]]
[9, [6, 11, 29, 16]]
[10, [6, 11, 29, 16]]
[11, [6, 11, 29, 16]]
[12, [6, 11, 29, 16]]
[13, [6, 11, 29, 16]]
[14, [6, 11, 29, 16]]
[15, [5, 6, 28, 11]]
[16, [6, 11, 29, 16]]
[17, [6, 11, 29, 16]]
[18, [6, 11, 29, 16]]
[19, [6, 11, 29, 16]]
[20, [8, 10, 29, 13]]
[21, [7, 11, 29, 13]]
[22, [8, 10, 29, 13]]
[23, [8, 11, 29, 13]]
[24, [7, 11, 29, 13]]
[25, [8, 11, 29, 13]]
[26, [8, 10, 29, 13]]
[27, [8, 10, 25, 14]]
[28, [6, 11, 29, 16]]
[29, [8, 9, 25, 13]]
[30, [6, 11, 29, 16]]
[31, [7, 9, 25, 14]]
[32, [8, 9, 25, 12]]
[33, [7, 7, 26, 12]]
[34, [4, 7, 27, 12]]
[35, [5, 7, 27, 12]]
[36, [7, 8, 25, 12]]
[37, [6, 6, 27, 11]]
[38, [6, 7, 28, 11]]
[39, [6, 8, 25, 12]]
[40, [5, 6, 27, 11]]
[41, [5, 6, 29, 11]]
[42, [6, 9, 25, 13]]
[43, [7, 9, 28, 12]]
[44, [8, 7, 27, 12]]
[45, [5, 7, 27, 12]]
[46, [5, 7, 27, 12]]
[47, [5, 7, 27, 12]]
[48, [7, 11, 25, 14]]
[49, [4, 7, 26, 12]]
[50, [5, 6, 28, 11]]
