209->Feature of type 1 starts(2, 6) ends(29, 11) in (x, y) format
305->Feature of type 1 starts(3, 6) ends(29, 11) in (x, y) format
317->Feature of type 1 starts(3, 6) ends(30, 11) in (x, y) format
401->Feature of type 1 starts(4, 6) ends(29, 11) in (x, y) format
413->Feature of type 1 starts(4, 6) ends(30, 11) in (x, y) format
425->Feature of type 1 starts(4, 6) ends(31, 11) in (x, y) format
478->Feature of type 2 starts(5, 6) ends(27, 12) in (x, y) format
485->Feature of type 1 starts(5, 6) ends(28, 11) in (x, y) format
497->Feature of type 1 starts(5, 6) ends(29, 11) in (x, y) format
509->Feature of type 1 starts(5, 6) ends(30, 11) in (x, y) format
521->Feature of type 1 starts(5, 6) ends(31, 11) in (x, y) format
533->Feature of type 1 starts(5, 6) ends(31, 11) in (x, y) format
581->Feature of type 1 starts(6, 6) ends(28, 11) in (x, y) format
593->Feature of type 1 starts(6, 6) ends(29, 11) in (x, y) format
605->Feature of type 1 starts(6, 6) ends(30, 11) in (x, y) format
617->Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
629->Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
641->Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
953->Feature of type 1 starts(1, 7) ends(27, 12) in (x, y) format
1337->Feature of type 1 starts(5, 7) ends(27, 12) in (x, y) format
81->Feature of type 1 starts(1, 6) ends(26, 12) in (x, y) format
101->Feature of type 1 starts(1, 6) ends(28, 11) in (x, y) format
293->Feature of type 1 starts(3, 6) ends(28, 11) in (x, y) format
389->Feature of type 1 starts(4, 6) ends(28, 11) in (x, y) format
1338->Feature of type 2 starts(5, 7) ends(27, 12) in (x, y) format
1349->Feature of type 1 starts(5, 7) ends(28, 12) in (x, y) format
1361->Feature of type 1 starts(5, 7) ends(29, 12) in (x, y) format
1373->Feature of type 1 starts(5, 7) ends(30, 12) in (x, y) format
1385->Feature of type 1 starts(5, 7) ends(31, 12) in (x, y) format
1397->Feature of type 1 starts(5, 7) ends(31, 12) in (x, y) format
490->Feature of type 2 starts(5, 6) ends(28, 12) in (x, y) format
1049->Feature of type 1 starts(2, 7) ends(27, 12) in (x, y) format
965->Feature of type 1 starts(1, 7) ends(28, 12) in (x, y) format
1061->Feature of type 1 starts(2, 7) ends(28, 12) in (x, y) format
1073->Feature of type 1 starts(2, 7) ends(29, 12) in (x, y) format
1157->Feature of type 1 starts(3, 7) ends(28, 12) in (x, y) format
1169->Feature of type 1 starts(3, 7) ends(29, 12) in (x, y) format
1181->Feature of type 1 starts(3, 7) ends(30, 12) in (x, y) format
1253->Feature of type 1 starts(4, 7) ends(28, 12) in (x, y) format
1265->Feature of type 1 starts(4, 7) ends(29, 12) in (x, y) format
1277->Feature of type 1 starts(4, 7) ends(30, 12) in (x, y) format
1289->Feature of type 1 starts(4, 7) ends(31, 12) in (x, y) format
197->Feature of type 1 starts(2, 6) ends(28, 11) in (x, y) format
198->Feature of type 2 starts(2, 6) ends(28, 11) in (x, y) format
294->Feature of type 2 starts(3, 6) ends(28, 11) in (x, y) format
390->Feature of type 2 starts(4, 6) ends(28, 11) in (x, y) format
486->Feature of type 2 starts(5, 6) ends(28, 11) in (x, y) format
582->Feature of type 2 starts(6, 6) ends(28, 11) in (x, y) format
941->Feature of type 1 starts(1, 7) ends(26, 12) in (x, y) format
942->Feature of type 2 starts(1, 7) ends(26, 12) in (x, y) format
1037->Feature of type 1 starts(2, 7) ends(26, 12) in (x, y) format
1038->Feature of type 2 starts(2, 7) ends(26, 12) in (x, y) format
1133->Feature of type 1 starts(3, 7) ends(26, 12) in (x, y) format
414->Feature of type 2 starts(4, 6) ends(30, 11) in (x, y) format
609->Feature of type 1 starts(6, 6) ends(30, 12) in (x, y) format
1350->Feature of type 2 starts(5, 7) ends(28, 12) in (x, y) format
1145->Feature of type 1 starts(3, 7) ends(27, 12) in (x, y) format
1241->Feature of type 1 starts(4, 7) ends(27, 12) in (x, y) format
1062->Feature of type 2 starts(2, 7) ends(28, 12) in (x, y) format
405->Feature of type 1 starts(4, 6) ends(29, 12) in (x, y) format
429->Feature of type 1 starts(4, 6) ends(31, 12) in (x, y) format
82->Feature of type 2 starts(1, 6) ends(26, 12) in (x, y) format
177->Feature of type 1 starts(2, 6) ends(26, 12) in (x, y) format
178->Feature of type 2 starts(2, 6) ends(26, 12) in (x, y) format
1229->Feature of type 1 starts(4, 7) ends(26, 12) in (x, y) format
1445->Feature of type 1 starts(6, 7) ends(28, 12) in (x, y) format
1457->Feature of type 1 starts(6, 7) ends(29, 12) in (x, y) format
1469->Feature of type 1 starts(6, 7) ends(30, 12) in (x, y) format
1481->Feature of type 1 starts(6, 7) ends(31, 12) in (x, y) format
1493->Feature of type 1 starts(6, 7) ends(31, 12) in (x, y) format
1505->Feature of type 1 starts(6, 7) ends(31, 12) in (x, y) format
5033->Feature of type 1 starts(7, 11) ends(31, 16) in (x, y) format
5045->Feature of type 1 starts(7, 11) ends(31, 16) in (x, y) format
5057->Feature of type 1 starts(7, 11) ends(31, 16) in (x, y) format
5069->Feature of type 1 starts(7, 11) ends(31, 16) in (x, y) format
306->Feature of type 2 starts(3, 6) ends(29, 11) in (x, y) format
594->Feature of type 2 starts(6, 6) ends(29, 11) in (x, y) format
597->Feature of type 1 starts(6, 6) ends(29, 12) in (x, y) format
621->Feature of type 1 starts(6, 6) ends(31, 12) in (x, y) format
