Feature of type 0 starts(1, 6) ends(20, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(20, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(20, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(20, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(20, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(20, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(20, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(20, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(20, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(20, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(20, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(20, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(21, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(21, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(21, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(21, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(21, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(21, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(21, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(21, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(21, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(21, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(21, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(21, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(22, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(22, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(22, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(22, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(22, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(22, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(22, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(22, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(22, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(22, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(22, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(22, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(23, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(23, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(23, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(23, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(23, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(23, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(23, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(23, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(23, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(23, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(23, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(23, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(24, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(24, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(24, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(24, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(24, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(24, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(24, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(24, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(24, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(24, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(24, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(24, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(25, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(25, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(25, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(25, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(25, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(25, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(25, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(25, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(25, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(25, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(25, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(25, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(26, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(26, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(26, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(26, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(26, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(26, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(26, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(26, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(26, 12) in (x, y) format
Feature of type 1 starts(1, 6) ends(26, 12) in (x, y) format
Feature of type 2 starts(1, 6) ends(26, 12) in (x, y) format
Feature of type 3 starts(1, 6) ends(26, 12) in (x, y) format
Feature of type 0 starts(1, 6) ends(27, 10) in (x, y) format
Feature of type 1 starts(1, 6) ends(27, 10) in (x, y) format
Feature of type 2 starts(1, 6) ends(27, 10) in (x, y) format
Feature of type 3 starts(1, 6) ends(27, 10) in (x, y) format
Feature of type 0 starts(1, 6) ends(27, 11) in (x, y) format
Feature of type 1 starts(1, 6) ends(27, 11) in (x, y) format
Feature of type 2 starts(1, 6) ends(27, 11) in (x, y) format
Feature of type 3 starts(1, 6) ends(27, 11) in (x, y) format
Feature of type 0 starts(1, 6) ends(27, 12) in (x, y) format
