Index 0->Feature of type 0 starts(3, 5) ends(22, 9) is 0
Index 1->Feature of type 1 starts(3, 5) ends(22, 9) is 0
Index 2->Feature of type 2 starts(3, 5) ends(22, 9) is 0
Index 3->Feature of type 3 starts(3, 5) ends(22, 9) is 0
Index 4->Feature of type 0 starts(3, 5) ends(22, 10) is 0
Index 5->Feature of type 1 starts(3, 5) ends(22, 10) is 0
Index 6->Feature of type 2 starts(3, 5) ends(22, 10) is 0
Index 7->Feature of type 3 starts(3, 5) ends(22, 10) is 0
Index 8->Feature of type 0 starts(3, 5) ends(22, 11) is 0
Index 9->Feature of type 1 starts(3, 5) ends(22, 11) is 0
Index 10->Feature of type 2 starts(3, 5) ends(22, 11) is 0
Index 11->Feature of type 3 starts(3, 5) ends(22, 11) is 0
Index 12->Feature of type 0 starts(3, 5) ends(23, 9) is 0
Index 13->Feature of type 1 starts(3, 5) ends(23, 9) is 0
Index 14->Feature of type 2 starts(3, 5) ends(23, 9) is 0
Index 15->Feature of type 3 starts(3, 5) ends(23, 9) is 0
Index 16->Feature of type 0 starts(3, 5) ends(23, 10) is 0
Index 17->Feature of type 1 starts(3, 5) ends(23, 10) is 0
Index 18->Feature of type 2 starts(3, 5) ends(23, 10) is 0
Index 19->Feature of type 3 starts(3, 5) ends(23, 10) is 0
Index 20->Feature of type 0 starts(3, 5) ends(23, 11) is 0
Index 21->Feature of type 1 starts(3, 5) ends(23, 11) is 0
Index 22->Feature of type 2 starts(3, 5) ends(23, 11) is 0
Index 23->Feature of type 3 starts(3, 5) ends(23, 11) is 0
Index 24->Feature of type 0 starts(3, 5) ends(24, 9) is 0
Index 25->Feature of type 1 starts(3, 5) ends(24, 9) is 0
Index 26->Feature of type 2 starts(3, 5) ends(24, 9) is 0
Index 27->Feature of type 3 starts(3, 5) ends(24, 9) is 0
Index 28->Feature of type 0 starts(3, 5) ends(24, 10) is 0
Index 29->Feature of type 1 starts(3, 5) ends(24, 10) is 0
Index 30->Feature of type 2 starts(3, 5) ends(24, 10) is 0
Index 31->Feature of type 3 starts(3, 5) ends(24, 10) is 0
Index 32->Feature of type 0 starts(3, 5) ends(24, 11) is 0
Index 33->Feature of type 1 starts(3, 5) ends(24, 11) is 0
Index 34->Feature of type 2 starts(3, 5) ends(24, 11) is 0
Index 35->Feature of type 3 starts(3, 5) ends(24, 11) is 0
Index 36->Feature of type 0 starts(3, 5) ends(25, 9) is 0
Index 37->Feature of type 1 starts(3, 5) ends(25, 9) is 0
Index 38->Feature of type 2 starts(3, 5) ends(25, 9) is 0
Index 39->Feature of type 3 starts(3, 5) ends(25, 9) is 0
Index 40->Feature of type 0 starts(3, 5) ends(25, 10) is 0
Index 41->Feature of type 1 starts(3, 5) ends(25, 10) is 0
Index 42->Feature of type 2 starts(3, 5) ends(25, 10) is 0
Index 43->Feature of type 3 starts(3, 5) ends(25, 10) is 0
Index 44->Feature of type 0 starts(3, 5) ends(25, 11) is 0
Index 45->Feature of type 1 starts(3, 5) ends(25, 11) is 0
Index 46->Feature of type 2 starts(3, 5) ends(25, 11) is 0
Index 47->Feature of type 3 starts(3, 5) ends(25, 11) is 0
Index 48->Feature of type 0 starts(3, 5) ends(26, 9) is 0
Index 49->Feature of type 1 starts(3, 5) ends(26, 9) is 0
Index 50->Feature of type 2 starts(3, 5) ends(26, 9) is 0
Index 51->Feature of type 3 starts(3, 5) ends(26, 9) is 0
Index 52->Feature of type 0 starts(3, 5) ends(26, 10) is 0
Index 53->Feature of type 1 starts(3, 5) ends(26, 10) is 0
