[68, <Feature of type 0 starts(3, 5) ends(27, 11) is 0>]
[69, <Feature of type 1 starts(3, 5) ends(27, 11) is 0>]
[70, <Feature of type 2 starts(3, 5) ends(27, 11) is 0>]
[71, <Feature of type 3 starts(3, 5) ends(27, 11) is 0>]
[80, <Feature of type 0 starts(3, 5) ends(28, 11) is 1>]
[81, <Feature of type 1 starts(3, 5) ends(28, 11) is 1>]
[82, <Feature of type 2 starts(3, 5) ends(28, 11) is 1>]
[83, <Feature of type 3 starts(3, 5) ends(28, 11) is 1>]
[92, <Feature of type 0 starts(3, 5) ends(29, 11) is 1>]
[93, <Feature of type 1 starts(3, 5) ends(29, 11) is 1>]
[94, <Feature of type 2 starts(3, 5) ends(29, 11) is 1>]
[95, <Feature of type 3 starts(3, 5) ends(29, 11) is 1>]
[152, <Feature of type 0 starts(3, 6) ends(26, 12) is 0>]
[153, <Feature of type 1 starts(3, 6) ends(26, 12) is 0>]
[154, <Feature of type 2 starts(3, 6) ends(26, 12) is 0>]
[155, <Feature of type 3 starts(3, 6) ends(26, 12) is 0>]
[160, <Feature of type 0 starts(3, 6) ends(27, 11) is 0>]
[161, <Feature of type 1 starts(3, 6) ends(27, 11) is 0>]
[162, <Feature of type 2 starts(3, 6) ends(27, 11) is 0>]
[163, <Feature of type 3 starts(3, 6) ends(27, 11) is 0>]
[164, <Feature of type 0 starts(3, 6) ends(27, 12) is 0>]
[165, <Feature of type 1 starts(3, 6) ends(27, 12) is 0>]
[166, <Feature of type 2 starts(3, 6) ends(27, 12) is 0>]
[167, <Feature of type 3 starts(3, 6) ends(27, 12) is 0>]
[172, <Feature of type 0 starts(3, 6) ends(28, 11) is 1>]
[173, <Feature of type 1 starts(3, 6) ends(28, 11) is 1>]
[174, <Feature of type 2 starts(3, 6) ends(28, 11) is 1>]
[175, <Feature of type 3 starts(3, 6) ends(28, 11) is 1>]
[176, <Feature of type 0 starts(3, 6) ends(28, 12) is 1>]
[177, <Feature of type 1 starts(3, 6) ends(28, 12) is 1>]
[178, <Feature of type 2 starts(3, 6) ends(28, 12) is 1>]
[179, <Feature of type 3 starts(3, 6) ends(28, 12) is 1>]
[184, <Feature of type 0 starts(3, 6) ends(29, 11) is 1>]
[185, <Feature of type 1 starts(3, 6) ends(29, 11) is 1>]
[186, <Feature of type 2 starts(3, 6) ends(29, 11) is 1>]
[187, <Feature of type 3 starts(3, 6) ends(29, 11) is 1>]
[188, <Feature of type 0 starts(3, 6) ends(29, 12) is 1>]
[189, <Feature of type 1 starts(3, 6) ends(29, 12) is 1>]
[190, <Feature of type 2 starts(3, 6) ends(29, 12) is 1>]
[191, <Feature of type 3 starts(3, 6) ends(29, 12) is 1>]
[236, <Feature of type 0 starts(3, 7) ends(25, 13) is 0>]
[237, <Feature of type 1 starts(3, 7) ends(25, 13) is 0>]
[238, <Feature of type 2 starts(3, 7) ends(25, 13) is 0>]
[239, <Feature of type 3 starts(3, 7) ends(25, 13) is 0>]
[244, <Feature of type 0 starts(3, 7) ends(26, 12) is 0>]
[245, <Feature of type 1 starts(3, 7) ends(26, 12) is 0>]
[246, <Feature of type 2 starts(3, 7) ends(26, 12) is 0>]
[247, <Feature of type 3 starts(3, 7) ends(26, 12) is 0>]
[248, <Feature of type 0 starts(3, 7) ends(26, 13) is 0>]
[249, <Feature of type 1 starts(3, 7) ends(26, 13) is 0>]
[250, <Feature of type 2 starts(3, 7) ends(26, 13) is 0>]
[251, <Feature of type 3 starts(3, 7) ends(26, 13) is 0>]
[256, <Feature of type 0 starts(3, 7) ends(27, 12) is 0>]
[257, <Feature of type 1 starts(3, 7) ends(27, 12) is 0>]
[258, <Feature of type 2 starts(3, 7) ends(27, 12) is 0>]
[259, <Feature of type 3 starts(3, 7) ends(27, 12) is 0>]
[260, <Feature of type 0 starts(3, 7) ends(27, 13) is 0>]
[261, <Feature of type 1 starts(3, 7) ends(27, 13) is 0>]
[262, <Feature of type 2 starts(3, 7) ends(27, 13) is 0>]
[263, <Feature of type 3 starts(3, 7) ends(27, 13) is 0>]
[268, <Feature of type 0 starts(3, 7) ends(28, 12) is 0>]
[269, <Feature of type 1 starts(3, 7) ends(28, 12) is 0>]
[270, <Feature of type 2 starts(3, 7) ends(28, 12) is 0>]
[271, <Feature of type 3 starts(3, 7) ends(28, 12) is 0>]
[272, <Feature of type 0 starts(3, 7) ends(28, 13) is 0>]
[273, <Feature of type 1 starts(3, 7) ends(28, 13) is 0>]
[274, <Feature of type 2 starts(3, 7) ends(28, 13) is 0>]
[275, <Feature of type 3 starts(3, 7) ends(28, 13) is 0>]
[280, <Feature of type 0 starts(3, 7) ends(29, 12) is 0>]
[281, <Feature of type 1 starts(3, 7) ends(29, 12) is 0>]
[282, <Feature of type 2 starts(3, 7) ends(29, 12) is 0>]
[283, <Feature of type 3 starts(3, 7) ends(29, 12) is 0>]
[284, <Feature of type 0 starts(3, 7) ends(29, 13) is 0>]
[285, <Feature of type 1 starts(3, 7) ends(29, 13) is 0>]
[286, <Feature of type 2 starts(3, 7) ends(29, 13) is 0>]
[287, <Feature of type 3 starts(3, 7) ends(29, 13) is 0>]
